Features,Cover,Gain
34-0.0,0.09644444444444444,1.6819507915542378
21022-0.0,0.23644444444444446,1.2855152248707071
400-0.0,0.2106666666666667,0.3926844985304642
400-0.1,0.26066666666666666,0.25585127763562704
137-0.0,0.17422222222222222,0.08592679020892915
20110-1.1_pos,0.14400000000000002,0.06902897346399792
30710-0.0,0.2013333333333333,0.06473480809711858
30650-0.0,0.2237777777777778,0.06285101847504988
3064-0.2,0.15933333333333333,0.057231790957388076
30620-0.0,0.19044444444444447,0.049575617034934
30040-0.0,0.12977777777777777,0.04205356277933146
20023-0.0,0.10244444444444445,0.040189036741841766
3526-0.0,0.1388888888888889,0.0393591368538949
4080-0.0,0.12088888888888888,0.03743366594007151
20008-0.4,0.041777777777777775,0.03645294641554139
23115-0.0,0.10200000000000001,0.03269858784759798
3064-0.1,0.11888888888888889,0.032239934546304375
20008-0.2,0.0751111111111111,0.02924836559453646
131287-0.0_c6,0.09088888888888888,0.029198813121763645
46-0.0,0.10133333333333333,0.02717304872348162
131287-0.0_c4,0.07666666666666666,0.02692373468217308
23112-0.0,0.08222222222222222,0.02465038329964599
404-0.7,0.06711111111111111,0.024304455504368723
399-0.1,0.046000000000000006,0.022915970007368437
3063-0.2,0.04488888888888889,0.02242465990350078
404-0.3,0.06444444444444444,0.021712521395883724
404-0.5,0.078,0.021281186756072205
20008-0.0,0.0631111111111111,0.020060769559309383
23111-0.0,0.07266666666666666,0.019881765506017234
30690-0.0,0.05911111111111111,0.018452885512564687
20010-0.0,0.06444444444444444,0.01830109883524035
404-0.1,0.04688888888888889,0.018056363334882142
3064-0.0,0.054,0.017830043514547672
20110-2.0_pos,0.06866666666666667,0.01713217990079932
23116-0.0,0.051777777777777784,0.016928211995384454
404-0.0,0.06266666666666666,0.01648253218190774
845-0.0,0.05711111111111111,0.013651196393081457
20010-0.2,0.03288888888888889,0.01328175721576529
404-0.11,0.03444444444444445,0.013254359608874068
47-0.0,0.057999999999999996,0.012939569212001376
20008-0.1,0.033777777777777775,0.012392159941802143
20110-0.1_neg,0.049555555555555554,0.01211055847637059
20008-0.6,0.034666666666666665,0.012056136897929745
23110-0.0,0.03777777777777778,0.01142244276067201
20008-0.3,0.03422222222222222,0.011287667322993538
23104-0.0,0.026444444444444444,0.010920914573650395
23108-0.0,0.04088888888888889,0.01077034346008601
404-0.4,0.03711111111111111,0.010661786729327815
23107-0.0,0.03688888888888889,0.010340436548316444
404-0.2,0.03288888888888889,0.010107961141013078
3063-0.0,0.03266666666666666,0.009700257833317145
3062-0.2,0.03155555555555556,0.009644247662220549
404-0.10,0.038,0.009626276871070505
3062-0.0,0.03422222222222222,0.008663430741134435
20010-0.3,0.014,0.008221727999506568
3063-0.1,0.023999999999999997,0.007961434016086604
131287-0.0_c8,0.018666666666666665,0.007801372091059905
404-0.9,0.040444444444444436,0.007316212248537256
20010-0.1,0.025555555555555554,0.007240147416578859
131351-0.0_c8,0.022444444444444447,0.007066538900548477
3062-0.1,0.026222222222222223,0.006790126378338846
21001-0.0,0.018444444444444444,0.006204087070510718
20110-1.1_neg,0.022,0.006052564585537268
20110-0.2_neg,0.015555555555555553,0.005381135566382201
20110-3.2_pos,0.0028888888888888888,0.00502154501570301
20008-0.5,0.015333333333333332,0.0032804040026566017
20010-0.4,0.015777777777777776,0.0032525330038900135
1031-0.0_c1,0.004444444444444445,0.002734311452584813
399-0.0,0.006,0.002642262777523191
403-0.10,0.0008888888888888889,0.00254535845506508
52-0.0_c0,0.010222222222222221,0.002479457840342481
20110-1.2_neg,0.008,0.002326571537009697
404-0.8,0.015777777777777776,0.002298759068189516
22006-0.0_c0,0.012222222222222223,0.0022077799623989505
21000-0.0_c4,0.01511111111111111,0.0021308551479625837
403-0.11,0.0006666666666666668,0.002043727623717481
20010-0.5,0.006444444444444444,0.001610840329700626
22032-0.0_c0,0.005111111111111111,0.0013450775070751489
20110-1.0_neg,0.003111111111111111,0.000915920303828337
20010-0.7,0.0013333333333333333,0.0008983331107460228
20110-3.0_pos,0.0017777777777777779,0.0007910534068446861
20008-0.7,0.0017777777777777779,0.0007169101287918399
1339-0.0_c0,0.003777777777777778,0.0006911571914886998
131351-0.0_c4,0.002888888888888889,0.0006027373143388823
1329-0.0_c0,0.003111111111111111,0.000568147181910028
403-0.1,0.0022222222222222222,0.0005442238121068667
20010-0.6,0.003333333333333333,0.0005097491776613099
20110-2.0_neg,0.0015555555555555557,0.0004954461138122039
22006-0.0_c1,0.0024444444444444444,0.0004619790457897307
1558-0.0_c0,0.0017777777777777779,0.0003694365136310461
20008-0.12,0.002,0.0003661504049188183
20110-2.1_pos,0.00044444444444444447,0.00036398763011776626
403-0.0,0.0011111111111111113,0.0003262231228991536
131287-0.0_c7,0.0008888888888888889,0.00028969782156295043
131287-0.0_c5,0.0008888888888888889,0.00028235834080410534
20110-1.2_pos,0.0013333333333333335,0.00027984390585079005
20110-3.1_pos,0.00044444444444444447,0.00027141013156923313
20110-2.2_neg,0.0013333333333333335,0.00025061447986009076
403-0.3,0.0013333333333333335,0.00024670025483753246
403-0.8,0.0013333333333333333,0.00023432610074656163
403-0.7,0.00044444444444444447,0.00021884650800343218
131287-0.0_c2,0.0015555555555555555,0.0002155404895136912
398-0.1,0.0008888888888888889,0.00021062698881086478
398-0.0,0.0008888888888888889,0.00021027970753333185
31-0.0_c0,0.0006666666666666668,0.00017845486104757144
20008-0.13,0.00022222222222222223,0.00017469729601176385
403-0.4,0.00044444444444444447,0.00016450571373062848
20008-0.11,0.0006666666666666668,0.00011191659345055445
131351-0.0_c7,0.0006666666666666668,0.00010743845732216634
131351-0.0_c3,0.00044444444444444447,0.00010309790999872242
20110-2.1_neg,0.00044444444444444447,7.426364473095423e-05
403-0.2,0.00022222222222222223,6.704333087987748e-05
20110-3.2_neg,0.00022222222222222223,5.508061371462478e-05
403-0.5,0.00022222222222222223,4.1399667457063e-05
20110-2.2_pos,0.00022222222222222223,3.75978026648454e-05
131351-0.0_c5,0.00022222222222222223,2.9820251995927223e-05
