,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.469,0.958,0.468,0.006,0.425,0.012,0.847,0.024,2.353,0.0,0.009,0.009,0.009,0.0,0.014,0.0,0.004,0.003,0.077
1,0.002,0.607,0.908,0.606,0.008,0.515,0.016,0.847,0.024,1.944,0.0,0.01,0.005,0.01,0.0,0.01,0.0,0.004,0.003,0.037
2,0.003,0.676,0.861,0.676,0.009,0.537,0.018,0.847,0.024,1.862,0.0,0.008,0.013,0.008,0.0,0.006,0.0,0.004,0.003,0.021
3,0.004,0.726,0.81,0.726,0.01,0.536,0.02,0.847,0.024,1.868,0.0,0.007,0.013,0.007,0.0,0.007,0.0,0.004,0.003,0.023
4,0.005,0.772,0.752,0.772,0.011,0.523,0.022,0.847,0.024,1.911,0.0,0.003,0.008,0.003,0.0,0.005,0.0,0.004,0.003,0.02
5,0.006,0.816,0.671,0.817,0.013,0.488,0.025,0.847,0.024,2.053,0.0,0.006,0.027,0.006,0.0,0.023,0.001,0.004,0.003,0.098
6,0.007,0.85,0.619,0.851,0.014,0.47,0.028,0.847,0.024,2.134,0.0,0.004,0.026,0.004,0.0,0.023,0.001,0.004,0.003,0.107
7,0.008,0.877,0.561,0.878,0.016,0.439,0.031,0.847,0.024,2.278,0.0,0.003,0.014,0.003,0.0,0.012,0.001,0.004,0.003,0.061
8,0.009,0.901,0.509,0.902,0.018,0.411,0.035,0.847,0.024,2.433,0.0,0.005,0.008,0.005,0.001,0.009,0.002,0.004,0.003,0.052
9,0.01,0.915,0.468,0.917,0.019,0.385,0.037,0.847,0.024,2.599,0.0,0.004,0.009,0.004,0.001,0.009,0.002,0.004,0.003,0.06
10,0.011,0.926,0.431,0.927,0.02,0.358,0.039,0.847,0.024,2.794,0.0,0.004,0.013,0.004,0.001,0.014,0.002,0.004,0.003,0.105
11,0.012,0.935,0.396,0.937,0.021,0.332,0.04,0.847,0.024,3.016,0.0,0.003,0.013,0.003,0.001,0.014,0.002,0.004,0.003,0.127
12,0.013,0.943,0.366,0.945,0.023,0.311,0.043,0.847,0.024,3.224,0.0,0.002,0.016,0.002,0.001,0.016,0.002,0.004,0.003,0.158
13,0.014,0.95,0.341,0.952,0.024,0.292,0.045,0.847,0.024,3.428,0.0,0.001,0.013,0.001,0.001,0.013,0.002,0.004,0.003,0.147
14,0.015,0.955,0.303,0.958,0.024,0.261,0.045,0.847,0.024,3.852,0.0,0.001,0.02,0.001,0.001,0.019,0.002,0.004,0.003,0.308
15,0.016,0.961,0.279,0.963,0.026,0.242,0.047,0.847,0.024,4.166,0.0,0.001,0.024,0.001,0.002,0.024,0.003,0.004,0.003,0.435
16,0.017,0.965,0.258,0.968,0.027,0.226,0.049,0.847,0.024,4.488,0.0,0.001,0.026,0.001,0.002,0.025,0.004,0.004,0.003,0.493
17,0.018,0.969,0.231,0.972,0.028,0.202,0.049,0.847,0.024,5.008,0.0,0.001,0.025,0.001,0.002,0.024,0.004,0.004,0.003,0.554
18,0.019,0.973,0.211,0.975,0.029,0.186,0.051,0.847,0.024,5.444,0.0,0.001,0.022,0.001,0.003,0.022,0.005,0.004,0.003,0.592
19,0.02,0.976,0.196,0.979,0.031,0.175,0.054,0.847,0.024,5.78,0.0,0.001,0.02,0.001,0.003,0.019,0.005,0.004,0.003,0.589
20,0.021,0.978,0.183,0.981,0.033,0.164,0.056,0.847,0.024,6.183,0.0,0.001,0.022,0.001,0.003,0.022,0.006,0.004,0.003,0.733
21,0.022,0.98,0.172,0.983,0.034,0.155,0.057,0.847,0.024,6.576,0.0,0.001,0.023,0.001,0.004,0.022,0.006,0.004,0.003,0.849
22,0.023,0.982,0.162,0.985,0.035,0.147,0.058,0.847,0.024,6.999,0.0,0.001,0.025,0.001,0.005,0.025,0.008,0.004,0.003,1.068
23,0.024,0.983,0.154,0.986,0.038,0.14,0.06,0.847,0.024,7.31,0.0,0.001,0.024,0.001,0.005,0.023,0.008,0.004,0.003,1.086
24,0.025,0.984,0.146,0.987,0.039,0.133,0.061,0.847,0.024,7.708,0.0,0.001,0.024,0.001,0.005,0.023,0.009,0.004,0.003,1.211
25,0.026,0.986,0.137,0.989,0.04,0.125,0.062,0.847,0.024,8.229,0.0,0.001,0.024,0.001,0.005,0.023,0.008,0.004,0.003,1.368
26,0.027,0.986,0.13,0.989,0.041,0.119,0.063,0.847,0.024,8.602,0.0,0.001,0.021,0.001,0.005,0.02,0.008,0.004,0.003,1.368
27,0.028,0.987,0.122,0.99,0.042,0.112,0.063,0.847,0.024,9.106,0.0,0.001,0.017,0.001,0.005,0.017,0.007,0.004,0.003,1.309
28,0.029,0.988,0.118,0.991,0.044,0.11,0.065,0.847,0.024,9.347,0.0,0.0,0.018,0.0,0.005,0.017,0.008,0.004,0.003,1.407
29,0.03,0.989,0.113,0.992,0.045,0.105,0.065,0.847,0.024,9.767,0.0,0.0,0.018,0.0,0.006,0.018,0.009,0.004,0.003,1.463
30,0.031,0.989,0.111,0.992,0.048,0.103,0.067,0.847,0.024,9.908,0.0,0.0,0.017,0.0,0.006,0.017,0.009,0.004,0.003,1.411
