Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
400-0.0,0.7384985518523484,0.018446595009634022,0.7664288397450256,0.733164783435645,0.7091880651387328,0.744221012223678,0.7394900587186602
400-0.1,0.757375984553738,0.018850231863154224,0.7703895601441776,0.7471670699964906,0.7248717953323915,0.7705632480987105,0.7738882491969193
20023-0.0,0.774174979055276,0.027878659927407547,0.7531841290335433,0.7767978088731037,0.7375057707001772,0.8187145256055786,0.7846726610639776
137-0.0,0.7740141145569923,0.04577058024850112,0.7826337075517746,0.7989656259782837,0.7027289635014135,0.7482331083624406,0.8375091673910491
21022-0.0,0.8199961584943372,0.02084478136470049,0.8306545603996405,0.8436277017777267,0.7819925413240922,0.8268180012205224,0.8168879877497037
30040-0.0,0.8179078341751319,0.023020355011901087,0.7935470374810772,0.8247194014900041,0.7967205439539147,0.8171430661699877,0.8574091217806761
23110-0.0,0.8161932541055539,0.007502058790769727,0.8184613449177489,0.8072922543853647,0.8293422487759258,0.8141407507046093,0.8117296717441207
30690-0.0,0.7986405898437984,0.04905311290816099,0.8122313421253299,0.7043067917323891,0.8226347641185987,0.8465281981681712,0.8075018530745033
20008-0.0,0.8026986266480293,0.03738043076242716,0.800231651894266,0.7328762280139794,0.8134721904916498,0.8404229729308232,0.8264900899094276
23111-0.0,0.8285462947446792,0.030706705123615716,0.7771230177921122,0.8195020516502773,0.8260561136598087,0.8604250730002759,0.8596252176209219
30650-0.0,0.7956364788416896,0.015777252326805154,0.775393662011885,0.7823112260470014,0.7955877965388701,0.805654085900679,0.8192356237100128
30710-0.0,0.8127140104232369,0.03020123192881582,0.8239212634202412,0.7569710139791793,0.8368714713403392,0.8392809989275929,0.8065253044488321
3064-0.0,0.8105053192953424,0.010711260150050146,0.8063321558471939,0.7954057143118426,0.806691872943512,0.826907082704687,0.8171897706694763
845-0.0,0.8003856550559172,0.05874322279737192,0.725606901292,0.867355628798517,0.7408594313776179,0.8079129669817152,0.8601933468297361
3526-0.0,0.7812298182869946,0.012587044341752387,0.7938087665251606,0.7912772651804729,0.7884150632135603,0.7620232650462383,0.7706247314695408
20110-1.1_pos,0.8008271297850982,0.0232850282868891,0.7691674349300466,0.7986474311627119,0.78564953629454,0.8136697864510246,0.8370014600871676
404-0.1,0.8111234129945666,0.02352200124740134,0.7955806191329876,0.7794094232369909,0.8271660803836692,0.8070513016266392,0.8464096405925462
4080-0.0,0.7676150800368728,0.04143993062450607,0.7879368135637663,0.7355416505337459,0.8236945969916097,0.784292329667792,0.7066100094274502
20010-0.0,0.8111687628739286,0.033991039921985954,0.8635075001678987,0.7928137778926702,0.8292529223380926,0.8076973261020833,0.7625722878688982
20010-0.2,0.8224035270652232,0.027631768965464494,0.812381326203078,0.8476461667118742,0.7808079453825172,0.8132089469490775,0.857973250079569
20008-0.1,0.8364835076619427,0.029830372051362648,0.8560589068691262,0.8421108670102442,0.8383436428889052,0.7801459172673884,0.8657582042740496
20008-0.3,0.8427685802533302,0.02605712806885521,0.8180253708470798,0.8616869109986973,0.8063482845976235,0.8537429002220424,0.874039434601208
