Features,Cover,Gain
34-0.0,0.4131111111111111,2.509570514430494
21022-0.0,0.11866666666666667,0.7726343376040912
400-0.0,0.27399999999999997,0.21741401152492673
400-0.1,0.24333333333333335,0.17153148208496885
137-0.0,0.23688888888888887,0.1274368753343704
20110-1.1_pos,0.20222222222222225,0.09451979666541718
30710-0.0,0.29488888888888887,0.09195879949310584
3526-0.0,0.14888888888888888,0.06797226464993178
30650-0.0,0.2328888888888889,0.05842334150370222
3064-0.2,0.15488888888888888,0.05157395833098183
845-0.0,0.1368888888888889,0.04725027643843636
20008-0.2,0.08977777777777778,0.04408102650141898
131287-0.0_c4,0.10066666666666665,0.04364298304430652
131287-0.0_c6,0.118,0.04102993398573215
30620-0.0,0.1757777777777778,0.04088204434031886
20023-0.0,0.08022222222222222,0.03909729825058604
131287-0.0_c8,0.04977777777777778,0.033638686335026126
20110-0.1_neg,0.07177777777777777,0.02326923669514347
3064-0.1,0.08577777777777779,0.022304388475710698
30040-0.0,0.08622222222222223,0.021258703624979367
20008-0.4,0.02711111111111111,0.020683443225634916
46-0.0,0.08911111111111111,0.02002024543250408
404-0.5,0.06555555555555556,0.018582643027781422
20110-2.0_pos,0.07488888888888888,0.01833851498655457
23112-0.0,0.058,0.01822771703180729
4080-0.0,0.06777777777777777,0.01681609885835999
3063-0.2,0.057999999999999996,0.016695617939058317
30690-0.0,0.05755555555555556,0.016667332166735695
131351-0.0_c8,0.050666666666666665,0.015494268045754432
23111-0.0,0.049555555555555554,0.013341566984091929
404-0.11,0.042222222222222223,0.013169304073015474
47-0.0,0.04333333333333333,0.01253894761478982
23115-0.0,0.046,0.012295012363690185
404-0.0,0.04622222222222222,0.012255619021780653
20008-0.6,0.026888888888888893,0.011829890204592358
404-0.1,0.035333333333333335,0.010491105792536579
3064-0.0,0.03133333333333334,0.009778932924968333
404-0.3,0.022666666666666665,0.009309591408170876
3062-0.0,0.024666666666666667,0.008957351640974795
23116-0.0,0.027777777777777773,0.00894730088969542
3062-0.2,0.029777777777777778,0.008682931019228273
3063-0.0,0.024444444444444446,0.008605703144376224
404-0.7,0.028444444444444446,0.0081161234963727
20010-0.0,0.03844444444444445,0.007701083730216137
20008-0.5,0.009777777777777778,0.007500872808969484
399-0.1,0.030444444444444444,0.007426417811437342
20008-0.1,0.020444444444444446,0.007097121431171792
404-0.2,0.023777777777777776,0.006843153101678175
20008-0.0,0.025555555555555557,0.006780122636953154
404-0.10,0.021777777777777778,0.006628342144752755
23110-0.0,0.02933333333333333,0.0065623370506123525
23104-0.0,0.021777777777777778,0.006428822979859394
20110-0.2_neg,0.025333333333333333,0.006226872289835379
23107-0.0,0.028888888888888888,0.006102287875291336
20010-0.2,0.016444444444444442,0.0056332828912704
131351-0.0_c4,0.022444444444444444,0.005210073119412581
23108-0.0,0.02266666666666667,0.0049635480568508
3062-0.1,0.01955555555555555,0.004704715054751782
404-0.4,0.014222222222222221,0.004691348938518402
3063-0.1,0.018444444444444447,0.004530757823171392
21001-0.0,0.01622222222222222,0.004301507845458023
22032-0.0_c0,0.022444444444444447,0.004149050653157937
20010-0.3,0.018,0.004044154568461668
20008-0.3,0.013999999999999999,0.003916389319569981
20110-1.1_neg,0.01711111111111111,0.0038833244523586645
20010-0.1,0.01288888888888889,0.003699383463026392
20010-0.5,0.006444444444444445,0.0035431429074593715
404-0.9,0.021333333333333333,0.0034528994769575964
403-0.4,0.003777777777777778,0.0028662197836857024
22006-0.0_c0,0.014888888888888889,0.0027100164436614804
20010-0.4,0.014666666666666665,0.002505528699417642
131287-0.0_c2,0.012444444444444445,0.002290955375539674
52-0.0_c0,0.009777777777777778,0.002201478615808613
399-0.0,0.006666666666666667,0.0021243854281402133
398-0.1,0.009111111111111111,0.0020235774907738165
20008-0.8,0.00044444444444444447,0.0017198338752804215
20110-1.2_neg,0.005333333333333333,0.0012519038515788777
131287-0.0_c7,0.0044444444444444444,0.001118682305766846
1031-0.0_c1,0.0022222222222222222,0.0010685778921987348
20010-0.7,0.005333333333333333,0.0009344134702871133
131351-0.0_c2,0.006222222222222222,0.0008975801778615123
31-0.0_c0,0.0035555555555555557,0.000870753047768964
22006-0.0_c1,0.004222222222222223,0.0008556127752704994
20110-3.0_pos,0.0013333333333333335,0.0008519662243165162
20110-1.0_neg,0.0035555555555555557,0.000820246126646494
21000-0.0_c3,0.0044444444444444444,0.0006994538449572735
403-0.1,0.0008888888888888889,0.0005821452267744165
20110-2.2_neg,0.002666666666666667,0.0005695917954065509
20110-3.2_pos,0.0011111111111111111,0.0004811590567930615
20010-0.6,0.0026666666666666666,0.00046322676884480343
1558-0.0_c0,0.0017777777777777779,0.00045092099820179634
131351-0.0_c5,0.0024444444444444444,0.00042907160570772123
403-0.11,0.0011111111111111113,0.00042394232340336405
403-0.0,0.0011111111111111111,0.00041135870820847593
20110-2.0_neg,0.0017777777777777776,0.0003837514882859329
31-0.0_c1,0.0008888888888888889,0.00030256468491088003
20110-2.2_pos,0.0015555555555555557,0.00025171441297631227
20110-3.1_pos,0.0013333333333333333,0.00023172133359165232
1339-0.0_c0,0.0013333333333333335,0.00022808996591719443
20110-0.2_pos,0.0006666666666666668,0.00022507689406704796
398-0.0,0.0006666666666666668,0.00020995112226369485
20116-0.0_c0,0.00022222222222222223,0.0001681153619138259
20110-3.1_neg,0.0006666666666666668,0.00014202707569200347
20110-2.1_neg,0.0006666666666666668,0.00013623544692715212
403-0.3,0.0008888888888888889,0.00012533213169118785
403-0.2,0.00044444444444444447,0.00011066003468454187
403-0.10,0.0006666666666666668,0.00010290250913645209
20110-1.0_pos,0.0006666666666666668,9.646575857891671e-05
20008-0.7,0.00044444444444444447,8.300782963081821e-05
20110-1.2_pos,0.00044444444444444447,7.724469499830686e-05
20110-3.0_neg,0.00022222222222222223,5.857496279903446e-05
20110-2.1_pos,0.00022222222222222223,5.384262975780553e-05
21000-0.0_c4,0.00022222222222222223,3.3886712551603605e-05
