Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
34-0.0,0.8128085559844394,0.006415038298993892,0.8011434107779957,0.8185489921633394,0.8184801034053663,0.8114290049659946,0.8144412686095013
400-0.0,0.8242833067704595,0.005220458713300348,0.8158141307812856,0.8281933336357937,0.8304764474708548,0.8212799054969031,0.8256527164674603
400-0.1,0.8244874247400537,0.005704657488383448,0.815201253513594,0.8283388419510866,0.8313191271713107,0.8211430759913876,0.8264348250728896
3526-0.0,0.8276480652296616,0.0050382855052620605,0.8195519425941225,0.8308329219645214,0.8337520943694726,0.8244767490284586,0.8296266181917333
137-0.0,0.830939399893402,0.0033851145553807417,0.8247629832501633,0.8333282152055907,0.83435287340833,0.8301994647803967,0.8320534628225296
30710-0.0,0.8338559134574102,0.0038268770680898764,0.8275749576314742,0.8361028555202761,0.8389926001014372,0.8323739072769055,0.8342352467569579
20110-1.1_pos,0.8370744666684947,0.0035357844825399066,0.83265132897508,0.8375225575696263,0.843175058477572,0.8347334657387901,0.8372899225814053
20023-0.0,0.8378086630681733,0.0037083213098301373,0.8335271304327867,0.8378810465854583,0.8446076884548807,0.8358652660489702,0.837162183818771
3064-0.2,0.8389460488462067,0.0033406444779444343,0.8354200256491718,0.8397485594191494,0.8449337871143262,0.8364358498270218,0.8381920222213646
131287-0.0_c4,0.8399091951988515,0.0036607463654408493,0.8363369347284921,0.8410048481704867,0.8464038578607331,0.8367188986556536,0.8390814365788921
20008-0.2,0.8403261614953461,0.0037184836898449974,0.8360620102469075,0.8411283603866166,0.8466948406338036,0.837210797567947,0.840534798641456
845-0.0,0.8414062771974378,0.004000207915238792,0.8372873476749274,0.8428242946181673,0.8482360573058763,0.8376297843208553,0.8410539020673625
30650-0.0,0.8420819968699792,0.003862533659121759,0.8381493451335487,0.8427418007819281,0.8488642722180352,0.8385193228226062,0.842135243393778
4080-0.0,0.8416856981445298,0.003665876784006691,0.839012689736221,0.84250642897788,0.8481783189563038,0.837569117296202,0.8411619357560417
23112-0.0,0.8421192632355072,0.003663144157054074,0.8377452244645238,0.8427635203780485,0.8485398495056014,0.8396116001264916,0.8419361217028706
131287-0.0_c6,0.8428425087023967,0.003534873822242987,0.8387629100647309,0.8441809539738679,0.8484403535537187,0.8393373993952146,0.8434909265244515
20110-0.1_neg,0.8435474282729241,0.00297250525608425,0.8400214469842227,0.8446837945065504,0.8483305649171586,0.8408157088036989,0.8438856261529895
30040-0.0,0.8438022575705373,0.003331810770767607,0.8402543394440916,0.8461025711171467,0.8487425205927052,0.8401668520929926,0.8437450046057507
131351-0.0_c8,0.8443564212579485,0.003086533101977638,0.8411396892784627,0.8465138722140626,0.8485443525551476,0.840533946560652,0.8450502456814176
20008-0.4,0.8439579784752542,0.003078692574197569,0.8410225835679676,0.8460308721853966,0.8485590128593101,0.84031100610767,0.8438664176559267
404-0.0,0.8436127044960712,0.003445390425708297,0.8402873472916397,0.8461534476769342,0.8485097727460996,0.8393882082399712,0.8437247465257111
30690-0.0,0.8437839956513262,0.0029964635108786584,0.8412500874516315,0.8454527099668174,0.8484621972940624,0.840070064742341,0.8436849188017781
20110-2.0_pos,0.8447617251565708,0.003081886372030155,0.8418122354454276,0.8465437119709565,0.8493062256522144,0.8409214119667358,0.8452250407475198
20008-0.0,0.8442185129960068,0.003199545391452613,0.8412795555231789,0.8456430794899974,0.8492600778587422,0.8403477076543491,0.8445621444537664
20008-0.6,0.8442529613396033,0.0027053185087490255,0.8414125789525054,0.8453811013217749,0.8486198096711058,0.8413991527946784,0.8444521639579525
20010-0.0,0.8442334203194337,0.003006036010365411,0.8412450257974141,0.8450970254818433,0.8491047960073412,0.8408597800028937,0.8448604743076759
20008-0.1,0.8442621296761074,0.0029013537449470604,0.8418557724356018,0.8454888020782194,0.848961307857133,0.8406970720697843,0.8443076939397981
