,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.332,0.986,0.326,0.013,0.312,0.026,0.841,0.05,3.204,0.0,0.008,0.003,0.008,0.0,0.007,0.0,0.004,0.001,0.066
1,0.002,0.43,0.968,0.425,0.015,0.394,0.029,0.841,0.05,2.541,0.0,0.014,0.009,0.015,0.0,0.007,0.0,0.004,0.001,0.049
2,0.003,0.511,0.945,0.507,0.017,0.452,0.033,0.841,0.05,2.215,0.0,0.006,0.007,0.006,0.0,0.01,0.0,0.004,0.001,0.049
3,0.004,0.565,0.926,0.561,0.019,0.487,0.036,0.841,0.05,2.053,0.0,0.004,0.005,0.004,0.0,0.007,0.0,0.004,0.001,0.03
4,0.005,0.611,0.899,0.609,0.02,0.507,0.039,0.841,0.05,1.971,0.0,0.007,0.006,0.007,0.0,0.008,0.001,0.004,0.001,0.031
5,0.006,0.636,0.886,0.634,0.021,0.52,0.041,0.841,0.05,1.924,0.0,0.007,0.007,0.007,0.0,0.006,0.001,0.004,0.001,0.022
6,0.007,0.657,0.871,0.655,0.022,0.526,0.043,0.841,0.05,1.903,0.0,0.007,0.01,0.008,0.0,0.006,0.001,0.004,0.001,0.02
7,0.008,0.678,0.853,0.676,0.023,0.529,0.045,0.841,0.05,1.89,0.0,0.008,0.012,0.008,0.0,0.006,0.001,0.004,0.001,0.021
8,0.009,0.704,0.827,0.703,0.024,0.531,0.047,0.841,0.05,1.885,0.0,0.004,0.013,0.004,0.0,0.009,0.0,0.004,0.001,0.033
9,0.01,0.728,0.802,0.728,0.026,0.529,0.05,0.841,0.05,1.89,0.0,0.007,0.019,0.007,0.0,0.013,0.001,0.004,0.001,0.046
10,0.011,0.747,0.783,0.747,0.027,0.53,0.052,0.841,0.05,1.89,0.0,0.007,0.022,0.007,0.0,0.016,0.001,0.004,0.001,0.056
11,0.012,0.763,0.76,0.763,0.028,0.523,0.054,0.841,0.05,1.914,0.0,0.006,0.018,0.006,0.0,0.013,0.001,0.004,0.001,0.047
