Features,Cover,Gain
21022-0.0,0.11071111111111112,0.5203999784422845
400-0.0,0.0676,0.08602755975651454
137-0.0,0.06702222222222223,0.08229738399811884
400-0.1,0.07124444444444444,0.05023996085494655
20023-0.0,0.06404444444444443,0.03854201662185747
20008-0.2,0.02493333333333333,0.023591253300735256
30040-0.0,0.061422222222222225,0.020520268335485335
131287-0.0_c4,0.028355555555555557,0.019460629744159953
30650-0.0,0.04359999999999999,0.013993077515251412
131351-0.0_c8,0.026133333333333335,0.013692900352256343
30710-0.0,0.045155555555555546,0.011910674444922982
20110-1.1_pos,0.033600000000000005,0.011506984992690511
3526-0.0,0.04186666666666668,0.011369873781490672
3064-0.2,0.04071111111111111,0.010742593211537864
23108-0.0,0.041911111111111114,0.01063761429790305
20008-0.4,0.013066666666666666,0.009064405069909267
131287-0.0_c6,0.02702222222222222,0.008925027036745529
20008-0.0,0.028133333333333333,0.00832659063907691
20110-0.1_neg,0.024977777777777776,0.008148466776664228
20008-0.1,0.015733333333333332,0.00705790591135255
20008-0.3,0.01048888888888889,0.006164038290412929
20110-2.0_pos,0.017688888888888886,0.005412951087029471
46-0.0,0.023777777777777776,0.005368360625332574
20010-0.0,0.01657777777777778,0.0038699377602139525
4080-0.0,0.017022222222222223,0.0038683961917253726
30690-0.0,0.018,0.003797897390056406
20008-0.5,0.01048888888888889,0.0028286347068054996
845-0.0,0.00871111111111111,0.0022346188645201125
