,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.272,0.985,0.266,0.012,0.251,0.023,0.834,0.05,3.98,0.0,0.009,0.006,0.009,0.0,0.006,0.0,0.003,0.003,0.096
1,0.002,0.398,0.965,0.393,0.014,0.358,0.028,0.834,0.05,2.798,0.0,0.012,0.003,0.012,0.0,0.012,0.001,0.003,0.003,0.097
2,0.003,0.502,0.932,0.498,0.016,0.43,0.032,0.834,0.05,2.327,0.0,0.01,0.009,0.01,0.0,0.006,0.0,0.003,0.003,0.031
3,0.004,0.557,0.911,0.554,0.018,0.465,0.035,0.834,0.05,2.151,0.0,0.005,0.012,0.005,0.0,0.01,0.0,0.003,0.003,0.047
4,0.005,0.598,0.894,0.596,0.019,0.49,0.038,0.834,0.05,2.043,0.0,0.005,0.007,0.005,0.0,0.011,0.001,0.003,0.003,0.044
5,0.006,0.634,0.871,0.632,0.021,0.503,0.04,0.834,0.05,1.991,0.0,0.009,0.009,0.009,0.0,0.008,0.001,0.003,0.003,0.03
6,0.007,0.666,0.845,0.664,0.022,0.509,0.043,0.834,0.05,1.966,0.0,0.01,0.018,0.011,0.0,0.01,0.001,0.003,0.003,0.037
7,0.008,0.693,0.821,0.692,0.023,0.513,0.045,0.834,0.05,1.949,0.0,0.006,0.012,0.007,0.0,0.007,0.001,0.003,0.003,0.028
8,0.009,0.718,0.798,0.717,0.025,0.515,0.048,0.834,0.05,1.942,0.0,0.004,0.011,0.004,0.0,0.009,0.001,0.003,0.003,0.034
9,0.01,0.741,0.772,0.741,0.026,0.512,0.05,0.834,0.05,1.952,0.0,0.004,0.012,0.004,0.0,0.01,0.001,0.003,0.003,0.038
10,0.011,0.761,0.752,0.761,0.027,0.513,0.053,0.834,0.05,1.949,0.0,0.004,0.009,0.004,0.0,0.006,0.0,0.003,0.003,0.024
11,0.012,0.779,0.726,0.78,0.029,0.505,0.055,0.834,0.05,1.979,0.0,0.004,0.013,0.004,0.0,0.009,0.0,0.003,0.003,0.037
12,0.013,0.795,0.703,0.795,0.03,0.498,0.057,0.834,0.05,2.008,0.0,0.003,0.013,0.003,0.0,0.01,0.0,0.003,0.003,0.04
13,0.014,0.807,0.684,0.808,0.031,0.492,0.059,0.834,0.05,2.034,0.0,0.003,0.01,0.003,0.0,0.007,0.0,0.003,0.003,0.031
14,0.015,0.818,0.666,0.819,0.032,0.485,0.061,0.834,0.05,2.062,0.0,0.004,0.011,0.004,0.0,0.008,0.001,0.003,0.003,0.034
15,0.016,0.829,0.645,0.83,0.033,0.476,0.063,0.834,0.05,2.103,0.0,0.004,0.014,0.004,0.001,0.011,0.001,0.003,0.003,0.05
16,0.017,0.839,0.622,0.841,0.034,0.463,0.064,0.834,0.05,2.161,0.0,0.005,0.014,0.005,0.001,0.011,0.001,0.003,0.003,0.052
17,0.018,0.85,0.602,0.852,0.035,0.454,0.066,0.834,0.05,2.205,0.0,0.005,0.018,0.005,0.001,0.014,0.001,0.003,0.003,0.069
18,0.019,0.86,0.579,0.862,0.036,0.442,0.068,0.834,0.05,2.265,0.0,0.004,0.016,0.004,0.001,0.013,0.001,0.003,0.003,0.068
19,0.02,0.871,0.558,0.873,0.038,0.431,0.071,0.834,0.05,2.319,0.0,0.004,0.012,0.004,0.001,0.011,0.002,0.003,0.003,0.058
20,0.021,0.878,0.536,0.882,0.039,0.418,0.073,0.834,0.05,2.394,0.0,0.004,0.014,0.004,0.001,0.012,0.002,0.003,0.003,0.066
21,0.022,0.884,0.522,0.888,0.04,0.41,0.074,0.834,0.05,2.445,0.0,0.004,0.018,0.004,0.001,0.015,0.002,0.003,0.003,0.091
22,0.023,0.892,0.504,0.895,0.041,0.399,0.076,0.834,0.05,2.511,0.0,0.004,0.015,0.004,0.001,0.012,0.002,0.003,0.003,0.076
23,0.024,0.897,0.49,0.901,0.042,0.391,0.078,0.834,0.05,2.562,0.0,0.003,0.017,0.003,0.001,0.015,0.002,0.003,0.003,0.099
24,0.025,0.902,0.473,0.906,0.043,0.379,0.079,0.834,0.05,2.642,0.0,0.003,0.021,0.003,0.001,0.019,0.003,0.003,0.003,0.133
25,0.026,0.908,0.458,0.912,0.044,0.37,0.081,0.834,0.05,2.709,0.0,0.001,0.019,0.001,0.001,0.018,0.002,0.003,0.003,0.133
26,0.027,0.912,0.442,0.917,0.045,0.358,0.082,0.834,0.05,2.795,0.0,0.001,0.016,0.001,0.001,0.015,0.002,0.003,0.003,0.118
27,0.028,0.918,0.426,0.922,0.047,0.348,0.084,0.834,0.05,2.882,0.0,0.001,0.016,0.001,0.002,0.016,0.004,0.003,0.003,0.137
28,0.029,0.923,0.408,0.927,0.048,0.335,0.085,0.834,0.05,2.992,0.0,0.002,0.014,0.002,0.002,0.014,0.003,0.003,0.003,0.126
29,0.03,0.927,0.391,0.932,0.049,0.323,0.087,0.834,0.05,3.102,0.0,0.003,0.01,0.003,0.002,0.01,0.003,0.003,0.003,0.098
30,0.031,0.932,0.375,0.937,0.05,0.312,0.089,0.834,0.05,3.208,0.0,0.003,0.008,0.003,0.002,0.009,0.004,0.003,0.003,0.092
31,0.032,0.936,0.363,0.941,0.052,0.304,0.091,0.834,0.05,3.293,0.0,0.002,0.008,0.002,0.003,0.009,0.004,0.003,0.003,0.101
32,0.033,0.939,0.346,0.945,0.053,0.29,0.092,0.834,0.05,3.444,0.0,0.002,0.006,0.002,0.002,0.007,0.004,0.003,0.003,0.078
33,0.034,0.942,0.335,0.948,0.054,0.282,0.093,0.834,0.05,3.546,0.0,0.002,0.004,0.002,0.002,0.006,0.003,0.003,0.003,0.07
34,0.035,0.945,0.318,0.951,0.055,0.269,0.094,0.834,0.05,3.713,0.0,0.002,0.006,0.002,0.001,0.005,0.002,0.003,0.003,0.063
35,0.036,0.948,0.308,0.954,0.056,0.261,0.095,0.834,0.05,3.83,0.0,0.001,0.008,0.001,0.001,0.007,0.002,0.003,0.003,0.102
36,0.037,0.951,0.295,0.956,0.057,0.252,0.096,0.834,0.05,3.974,0.0,0.002,0.007,0.002,0.001,0.005,0.002,0.003,0.003,0.083
37,0.038,0.953,0.286,0.959,0.058,0.244,0.097,0.834,0.05,4.093,0.0,0.002,0.008,0.002,0.001,0.006,0.002,0.003,0.003,0.106
38,0.039,0.955,0.275,0.961,0.059,0.236,0.097,0.834,0.05,4.246,0.0,0.002,0.008,0.002,0.002,0.007,0.003,0.003,0.003,0.12
39,0.04,0.957,0.266,0.963,0.06,0.228,0.098,0.834,0.05,4.382,0.0,0.002,0.009,0.002,0.002,0.008,0.003,0.003,0.003,0.152
40,0.041,0.959,0.257,0.965,0.061,0.222,0.099,0.834,0.05,4.519,0.0,0.002,0.009,0.002,0.002,0.008,0.003,0.003,0.003,0.164
41,0.042,0.96,0.251,0.966,0.063,0.217,0.1,0.834,0.05,4.611,0.0,0.001,0.009,0.002,0.002,0.008,0.003,0.003,0.003,0.159
42,0.043,0.962,0.246,0.968,0.064,0.214,0.102,0.834,0.05,4.674,0.0,0.001,0.009,0.001,0.002,0.008,0.003,0.003,0.003,0.172
43,0.044,0.963,0.235,0.97,0.065,0.205,0.102,0.834,0.05,4.882,0.0,0.001,0.007,0.001,0.002,0.006,0.002,0.003,0.003,0.133
44,0.045,0.965,0.228,0.971,0.067,0.199,0.103,0.834,0.05,5.02,0.0,0.001,0.007,0.001,0.001,0.007,0.002,0.003,0.003,0.173
45,0.046,0.966,0.222,0.973,0.068,0.195,0.104,0.834,0.05,5.145,0.0,0.001,0.007,0.001,0.001,0.006,0.001,0.003,0.003,0.161
46,0.047,0.967,0.215,0.974,0.069,0.189,0.104,0.834,0.05,5.299,0.0,0.001,0.007,0.001,0.001,0.007,0.001,0.003,0.003,0.184
47,0.048,0.969,0.207,0.976,0.07,0.182,0.105,0.834,0.05,5.495,0.0,0.001,0.005,0.001,0.001,0.004,0.001,0.003,0.003,0.132
48,0.049,0.97,0.198,0.977,0.071,0.174,0.104,0.834,0.05,5.736,0.0,0.001,0.006,0.001,0.001,0.005,0.001,0.003,0.003,0.167
49,0.05,0.971,0.191,0.978,0.073,0.169,0.106,0.834,0.05,5.911,0.0,0.001,0.008,0.001,0.001,0.007,0.001,0.003,0.003,0.229
50,0.051,0.972,0.185,0.979,0.074,0.164,0.105,0.834,0.05,6.115,0.0,0.001,0.01,0.001,0.001,0.009,0.003,0.003,0.003,0.332
51,0.052,0.973,0.178,0.98,0.075,0.158,0.106,0.834,0.05,6.34,0.0,0.001,0.01,0.001,0.002,0.009,0.003,0.003,0.003,0.353
52,0.053,0.975,0.167,0.982,0.077,0.149,0.105,0.834,0.05,6.753,0.0,0.001,0.014,0.002,0.003,0.013,0.004,0.003,0.003,0.561
53,0.054,0.976,0.162,0.983,0.079,0.146,0.106,0.834,0.05,6.925,0.0,0.001,0.015,0.002,0.003,0.014,0.005,0.003,0.003,0.614
54,0.055,0.976,0.16,0.984,0.081,0.144,0.107,0.834,0.05,7.037,0.0,0.001,0.016,0.001,0.004,0.015,0.006,0.003,0.003,0.73
55,0.056,0.977,0.154,0.984,0.081,0.139,0.106,0.834,0.05,7.297,0.0,0.001,0.017,0.001,0.003,0.016,0.006,0.003,0.003,0.802
56,0.057,0.978,0.151,0.985,0.082,0.136,0.106,0.834,0.05,7.473,0.0,0.001,0.016,0.001,0.005,0.015,0.007,0.003,0.003,0.848
57,0.058,0.978,0.145,0.986,0.082,0.13,0.105,0.834,0.05,7.744,0.0,0.001,0.014,0.001,0.005,0.013,0.007,0.003,0.003,0.784
58,0.059,0.979,0.139,0.986,0.083,0.125,0.103,0.834,0.05,8.117,0.0,0.001,0.015,0.001,0.006,0.015,0.009,0.003,0.003,0.933
59,0.06,0.979,0.135,0.987,0.083,0.122,0.103,0.834,0.05,8.342,0.0,0.001,0.015,0.001,0.006,0.015,0.009,0.003,0.003,0.976
60,0.061,0.98,0.13,0.987,0.083,0.117,0.102,0.834,0.05,8.621,0.0,0.001,0.013,0.001,0.006,0.013,0.008,0.003,0.003,0.908
61,0.062,0.98,0.126,0.988,0.084,0.114,0.101,0.834,0.05,8.849,0.0,0.001,0.012,0.001,0.006,0.012,0.008,0.003,0.003,0.908
62,0.063,0.98,0.122,0.988,0.085,0.111,0.1,0.834,0.05,9.139,0.0,0.001,0.012,0.001,0.006,0.011,0.008,0.003,0.003,0.947
63,0.064,0.981,0.117,0.989,0.086,0.106,0.099,0.834,0.05,9.525,0.0,0.001,0.009,0.001,0.006,0.008,0.006,0.003,0.003,0.735
64,0.065,0.981,0.114,0.989,0.086,0.104,0.098,0.834,0.05,9.698,0.0,0.001,0.007,0.001,0.006,0.006,0.005,0.003,0.003,0.576
65,0.066,0.982,0.111,0.99,0.088,0.101,0.098,0.834,0.05,9.956,0.0,0.001,0.006,0.001,0.006,0.006,0.005,0.003,0.003,0.604
66,0.067,0.982,0.106,0.99,0.088,0.096,0.096,0.834,0.05,10.416,0.0,0.001,0.006,0.001,0.005,0.006,0.004,0.003,0.003,0.575
67,0.068,0.983,0.104,0.991,0.09,0.095,0.096,0.834,0.05,10.611,0.0,0.001,0.006,0.001,0.007,0.006,0.004,0.003,0.003,0.601
68,0.069,0.983,0.103,0.991,0.091,0.093,0.096,0.834,0.05,10.73,0.0,0.001,0.006,0.001,0.007,0.005,0.004,0.003,0.003,0.538
69,0.07,0.983,0.1,0.991,0.093,0.091,0.096,0.834,0.05,11.009,0.0,0.001,0.006,0.001,0.008,0.005,0.005,0.003,0.003,0.638
70,0.071,0.984,0.096,0.992,0.096,0.088,0.095,0.834,0.05,11.514,0.0,0.001,0.01,0.001,0.01,0.008,0.005,0.003,0.003,1.151
71,0.072,0.984,0.093,0.992,0.097,0.085,0.094,0.834,0.05,11.807,0.0,0.001,0.008,0.001,0.01,0.007,0.004,0.003,0.003,0.966
72,0.073,0.985,0.088,0.993,0.098,0.081,0.092,0.834,0.05,12.487,0.0,0.002,0.009,0.002,0.013,0.008,0.003,0.003,0.003,1.371
73,0.074,0.985,0.087,0.993,0.1,0.08,0.092,0.834,0.05,12.667,0.0,0.001,0.009,0.001,0.012,0.008,0.004,0.003,0.003,1.437
74,0.075,0.985,0.085,0.993,0.101,0.078,0.091,0.834,0.05,12.988,0.0,0.001,0.009,0.001,0.012,0.008,0.006,0.003,0.003,1.474
75,0.076,0.985,0.082,0.993,0.102,0.075,0.09,0.834,0.05,13.476,0.0,0.001,0.009,0.001,0.013,0.008,0.005,0.003,0.003,1.56
76,0.077,0.986,0.08,0.994,0.104,0.074,0.089,0.834,0.05,13.721,0.0,0.001,0.009,0.001,0.012,0.008,0.005,0.003,0.003,1.598
