Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
400-0.0,0.7178016377233464,0.02296029746103442,0.7428201996957515,0.7147123941544857,0.745036742103776,0.6882152638615993,0.6982235888011191
137-0.0,0.7808438864797269,0.01196977406119694,0.800581721878126,0.7788027487059141,0.786851471027704,0.7706637945845856,0.7673196962023049
20023-0.0,0.7923642029978374,0.010082577618689213,0.8017430339503842,0.796197154598982,0.7899842906080757,0.8000117509997255,0.7738847848320192
34-0.0,0.8265133466275574,0.006735514847191492,0.8314277462419069,0.8313243738025076,0.8168402360744801,0.8330434091802942,0.8199309678385976
400-0.1,0.830858768070628,0.00862685167699281,0.8446250221016642,0.8299492930875418,0.8225777163995711,0.8357378945872727,0.8214039141770901
20008-0.0,0.8331608517777301,0.005859195012787613,0.8411066295676013,0.8294774209807612,0.8331139711600236,0.8376128635430551,0.8244933736372098
23111-0.0,0.838786262089957,0.0105476605670508,0.8441543300729876,0.8505454774376734,0.82257194013942,0.8462622914744641,0.83039727132524
20008-0.1,0.8425564873473161,0.003382786739434883,0.8470702813681097,0.8451321292791146,0.8372053954646536,0.8418645981514339,0.8415100324732694
30710-0.0,0.8410514509444693,0.0035070776509648622,0.8460403893862594,0.8370288505618901,0.8388262598659542,0.8443904269404368,0.8389713279678068
30040-0.0,0.8447977081645272,0.0058648616378650445,0.8502359840005217,0.8415954040715355,0.8378549829938758,0.8531874421356141,0.8411147276210887
30650-0.0,0.8452768316549226,0.009769393448294127,0.8479574619167819,0.8579654525697284,0.8295009331586444,0.850959968634144,0.8400003419953147
3064-0.2,0.8480721899470746,0.003482784062406228,0.8495339460296094,0.8461414225946533,0.8421948628232365,0.8514726816992606,0.851018036588613
23108-0.0,0.8425592006227802,0.0037856626258138642,0.8412642020281479,0.8413175837705308,0.8422281971879843,0.8496594194873816,0.8383266006398569
30690-0.0,0.8466462823536546,0.005410740163651983,0.8432007685809425,0.846839790259159,0.8445255710711048,0.8569333341204654,0.8417319477366018
20008-0.2,0.8442947861309731,0.007323504927286935,0.8452391850708803,0.8530565220542193,0.8374621718575311,0.8512155236151836,0.8345005280570514
4080-0.0,0.845175402753527,0.008655660861952252,0.8443423840956323,0.8476423596211018,0.8322909685958731,0.8591231219775146,0.8424781794775126
3526-0.0,0.8461142576772007,0.010074687315051541,0.844929483285876,0.8477929495223058,0.8339111459530149,0.8639230669325544,0.8400146426922522
20010-0.0,0.8469216090421577,0.008494766920129194,0.8528363853039579,0.856930993081109,0.8340565957460668,0.8506572620669381,0.8401268090127166
20110-0.1_neg,0.8482485946768128,0.006100603582442483,0.8466389571376579,0.8554253994220279,0.8403342963487115,0.8551927204668724,0.843651600008794
131287-0.0_c6,0.8501041555328227,0.009256280835704192,0.8506068261281063,0.8446235384789516,0.8462964655598505,0.8676311205965049,0.8413628269007001
131287-0.0_c8,0.8521633514724909,0.006718881793600102,0.848504712287472,0.8463996239680087,0.8498808003830348,0.865275220729476,0.8507563999944628
