Features,Cover,Gain
34-0.0,0.13804444444444444,0.6478551737367054
400-0.0,0.08604444444444445,0.06551804186273369
137-0.0,0.08337777777777777,0.06158422282124544
131287-0.0_c8,0.03191111111111111,0.03039098032940432
20023-0.0,0.07262222222222221,0.025657481774145247
131351-0.0_c8,0.034,0.020554312640904022
131287-0.0_c6,0.04102222222222222,0.01945063837312757
20110-1.1_pos,0.04844444444444444,0.014516242699639675
20008-0.2,0.02111111111111111,0.014450856901763075
3526-0.0,0.04413333333333334,0.013408288421558256
30710-0.0,0.06742222222222223,0.013074885115810763
30040-0.0,0.050977777777777775,0.01090233177231981
3064-0.2,0.038844444444444445,0.008246173872975247
398-0.1,0.026000000000000002,0.0079449690811056
20110-0.1_neg,0.029777777777777775,0.00673865895380916
30650-0.0,0.03395555555555555,0.006171819823485978
23107-0.0,0.03408888888888889,0.006039907539582489
845-0.0,0.020666666666666667,0.005496767398820877
20008-0.4,0.00991111111111111,0.00457637391992354
20110-2.0_pos,0.019644444444444444,0.004063387612402445
46-0.0,0.024266666666666666,0.0037133614641854857
20008-0.0,0.018266666666666664,0.0033345129904382895
20008-0.3,0.005955555555555556,0.0025050972753203624
22032-0.0_c0,0.013244444444444444,0.00236933490966411
20008-0.5,0.006266666666666668,0.001436178708929171
