Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
34-0.0,0.7968429407862517,0.003447160090178,0.8001796020961841,0.7918259582101492,0.7974362349789421,0.8007157431841558,0.7940571654618273
400-0.0,0.808442838591383,0.004502562446440095,0.8153326258719507,0.8025996709582324,0.8086607250276873,0.8108852077899676,0.8047359633090769
137-0.0,0.8177399867420349,0.004886913256786422,0.8246333297601429,0.8121546782810787,0.8169945972610551,0.8219297863845771,0.8129875420233197
131287-0.0_c8,0.8213852903051102,0.00462197914180908,0.8272368159507222,0.8154673902120816,0.82042580652123,0.8261470286867397,0.8176494101547768
20023-0.0,0.8232048709605344,0.005021364811895234,0.8301956753883343,0.8166010068235338,0.8219514359318196,0.82761565832592,0.8196605783330649
131351-0.0_c8,0.8255974747233065,0.005202708500233335,0.832731647484901,0.8186671998679881,0.8244142811446965,0.830242618382963,0.8219316267359843
131287-0.0_c6,0.8277259606934791,0.004913139910822034,0.8345235089902634,0.8208741465728504,0.8264516696473161,0.8319282011108284,0.8248522771461371
20110-1.1_pos,0.8296873393860782,0.004771934820926071,0.836910630160689,0.8234198152726024,0.8288575681823833,0.8329184700602994,0.8263302132544171
20008-0.2,0.8301485330028564,0.004776151711540607,0.8370435887285097,0.8236703336292063,0.8293927238539041,0.8337763741380753,0.8268596446645862
3526-0.0,0.8309326284825005,0.004415146168108339,0.8370075005158888,0.8252535746517322,0.8299216347068228,0.8349212845166103,0.8275591480214481
30710-0.0,0.8326575281050989,0.00481805133253517,0.8389343826282498,0.8266214655066231,0.8315903463113963,0.8374726999664364,0.8286687461127892
30040-0.0,0.8333946318853045,0.004545834634063496,0.8394533215736452,0.8278572114490168,0.832621009376982,0.8377233068123726,0.8293183102145059
3064-0.2,0.8337784060615236,0.004092250954053214,0.8394795721410219,0.8290087509426831,0.8329200451704163,0.837466091077438,0.8300175709760589
398-0.1,0.8343273836926481,0.00416465277067511,0.8404106156809286,0.8295788775983748,0.8333630809186251,0.837759433214398,0.8305249110509139
20110-0.1_neg,0.8349875521137603,0.004403731424571921,0.8416000104921406,0.8297189460985234,0.8340977142998118,0.8382667223310076,0.8312543673473184
30650-0.0,0.835047228086518,0.004434613579337618,0.841456564837815,0.8298085251138615,0.8342602894295938,0.8386706457942883,0.8310401152570313
23107-0.0,0.8352941178698507,0.004451387143775886,0.8417647841007077,0.8301277314185537,0.8344108224253671,0.8389335829966301,0.8312336684079956
845-0.0,0.835360295259964,0.004455008717796222,0.8416858681430059,0.8299356943976104,0.8343859948469579,0.8391946164141918,0.8315993024980545
20008-0.4,0.8354924428718098,0.0045210518480033445,0.8420938840372846,0.8299334290707007,0.8347176983736536,0.8390383998750106,0.8316788030023998
20110-2.0_pos,0.835605661955532,0.004568634856487444,0.84226687042444,0.8295779750071842,0.83457585755859,0.8391592763030912,0.8324483304843547
46-0.0,0.8357804371799101,0.004353327958976589,0.8421263156681773,0.8304691839414151,0.8344967025866105,0.8394120372322053,0.832397946471143
20008-0.0,0.8357808543290138,0.00458430880772189,0.8424854541583169,0.8298839711186796,0.8345964730447766,0.8394246785654074,0.8325136947578894
20008-0.3,0.835504487399505,0.004520629207404414,0.8422124816141158,0.8298340732482635,0.8341744092683505,0.8390579180934751,0.8322435547733206
22032-0.0_c0,0.8356765664854071,0.00454656072292275,0.8423540269578265,0.82983858367595,0.8346870102731717,0.8391936303902018,0.8323095811298856
20008-0.5,0.8357102592840187,0.004523367712194268,0.8424624735403227,0.8299381973815844,0.8345625487629947,0.8391154766118119,0.83247260012338
