,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0,0.001,0.166,0.995,0.149,0.023,0.144,0.046,0.831,0.093,7.087,0.0,0.021,0.001,0.021,0.001,0.02,0.001,0.004,0.004,0.938
1,0.002,0.298,0.986,0.283,0.027,0.269,0.053,0.831,0.093,3.712,0.0,0.004,0.001,0.004,0.0,0.003,0.0,0.004,0.004,0.047
2,0.003,0.345,0.98,0.332,0.029,0.312,0.056,0.831,0.093,3.207,0.0,0.006,0.001,0.006,0.0,0.006,0.0,0.004,0.004,0.062
3,0.004,0.389,0.971,0.377,0.031,0.348,0.06,0.831,0.093,2.875,0.0,0.01,0.002,0.01,0.0,0.008,0.001,0.004,0.004,0.066
4,0.005,0.425,0.962,0.414,0.032,0.375,0.063,0.831,0.093,2.665,0.0,0.011,0.005,0.011,0.0,0.007,0.001,0.004,0.004,0.052
5,0.006,0.466,0.951,0.456,0.034,0.407,0.066,0.831,0.093,2.46,0.0,0.007,0.005,0.008,0.0,0.004,0.001,0.004,0.004,0.026
6,0.007,0.51,0.937,0.501,0.037,0.438,0.071,0.831,0.093,2.281,0.0,0.011,0.007,0.011,0.001,0.006,0.001,0.004,0.004,0.033
7,0.008,0.536,0.927,0.528,0.039,0.455,0.074,0.831,0.093,2.198,0.0,0.006,0.005,0.006,0.0,0.006,0.001,0.004,0.004,0.027
8,0.009,0.557,0.919,0.55,0.04,0.469,0.077,0.831,0.093,2.133,0.0,0.002,0.004,0.002,0.0,0.005,0.001,0.004,0.004,0.024
9,0.01,0.578,0.907,0.572,0.041,0.479,0.079,0.831,0.093,2.088,0.0,0.006,0.006,0.006,0.001,0.006,0.001,0.004,0.004,0.026
10,0.011,0.594,0.899,0.588,0.043,0.487,0.081,0.831,0.093,2.053,0.0,0.007,0.004,0.007,0.001,0.006,0.001,0.004,0.004,0.024
11,0.012,0.61,0.891,0.604,0.044,0.495,0.084,0.831,0.093,2.021,0.0,0.01,0.005,0.01,0.001,0.006,0.002,0.004,0.004,0.026
12,0.013,0.623,0.883,0.618,0.045,0.5,0.086,0.831,0.093,1.999,0.0,0.008,0.007,0.008,0.001,0.004,0.001,0.004,0.004,0.015
13,0.014,0.636,0.873,0.631,0.046,0.504,0.088,0.831,0.093,1.984,0.0,0.007,0.008,0.007,0.001,0.004,0.001,0.004,0.004,0.018
14,0.015,0.65,0.863,0.646,0.047,0.509,0.09,0.831,0.093,1.966,0.0,0.004,0.009,0.005,0.0,0.005,0.0,0.004,0.004,0.019
15,0.016,0.663,0.853,0.659,0.049,0.512,0.092,0.831,0.093,1.953,0.0,0.003,0.008,0.003,0.0,0.007,0.001,0.004,0.004,0.025
16,0.017,0.674,0.843,0.671,0.05,0.514,0.094,0.831,0.093,1.947,0.0,0.006,0.007,0.006,0.001,0.006,0.001,0.004,0.004,0.022
17,0.018,0.685,0.832,0.682,0.051,0.514,0.096,0.831,0.093,1.945,0.0,0.01,0.012,0.011,0.001,0.006,0.002,0.004,0.004,0.023
18,0.019,0.695,0.823,0.692,0.052,0.515,0.097,0.831,0.093,1.942,0.0,0.007,0.008,0.008,0.001,0.006,0.002,0.004,0.004,0.021
19,0.02,0.706,0.81,0.704,0.053,0.515,0.099,0.831,0.093,1.944,0.0,0.007,0.008,0.007,0.001,0.006,0.002,0.004,0.004,0.022
20,0.021,0.714,0.803,0.713,0.054,0.515,0.101,0.831,0.093,1.941,0.0,0.005,0.006,0.005,0.001,0.005,0.001,0.004,0.004,0.019
21,0.022,0.722,0.793,0.721,0.055,0.514,0.103,0.831,0.093,1.946,0.0,0.004,0.008,0.004,0.0,0.005,0.001,0.004,0.004,0.02
22,0.023,0.729,0.784,0.728,0.056,0.512,0.104,0.831,0.093,1.953,0.0,0.003,0.009,0.003,0.0,0.006,0.0,0.004,0.004,0.024
23,0.024,0.735,0.778,0.734,0.056,0.512,0.105,0.831,0.093,1.955,0.0,0.003,0.01,0.003,0.0,0.007,0.001,0.004,0.004,0.026
24,0.025,0.741,0.771,0.741,0.057,0.512,0.107,0.831,0.093,1.955,0.0,0.003,0.01,0.003,0.0,0.007,0.001,0.004,0.004,0.028
25,0.026,0.748,0.763,0.748,0.058,0.511,0.108,0.831,0.093,1.959,0.0,0.004,0.011,0.004,0.0,0.008,0.001,0.004,0.004,0.03
26,0.027,0.755,0.754,0.755,0.059,0.509,0.11,0.831,0.093,1.965,0.0,0.004,0.011,0.004,0.001,0.008,0.001,0.004,0.004,0.032
27,0.028,0.764,0.74,0.764,0.06,0.504,0.111,0.831,0.093,1.986,0.0,0.005,0.014,0.005,0.001,0.01,0.001,0.004,0.004,0.038
28,0.029,0.77,0.729,0.771,0.061,0.5,0.113,0.831,0.093,2.001,0.0,0.005,0.015,0.005,0.001,0.011,0.002,0.004,0.004,0.046
