step,feature,auc,gain,is_imaging
1,AMY_SUMMARY_SUVR,0.7501372666467006,0.7501372666467006,True
2,NfL_F,0.8116387141858841,0.06150144753918352,False
3,FS_ST29SV,0.8478920834581212,0.0362533692722371,True
4,WMH_CEREBRUM_WHITE,0.8571054207846659,0.009213337326544724,True
5,FS_ST69SV,0.8646470999301187,0.007541679145452784,True
6,FS_ST83CV,0.8684201856843368,0.0037730857542180862,True
7,FS_ST31TA,0.8719761405610461,0.003555954876709344,True
8,entry_age,0.8722531696116601,0.0002770290506139972,False
9,WMH_CEREBRUM_TCC,0.8729479884196867,0.000694818808026576,True
10,APOE4_count,0.8752291105121295,0.0022811220924428,False
11,pT217_F,0.8773225516621743,0.002093441150044839,False
12,FS_ST72TS,0.8820614954577218,0.004738943795547512,True
13,FS_ST14TS,0.8811250873515025,-0.0009364081062193108,True
