step,feature,auc,gain,is_imaging
1,FS_ST50TS,0.6416406621886074,0.6416406621886074,True
2,GFAP_F,0.6695734384090548,0.02793277622044743,False
3,AMY_COMPOSITE_REF_SUVR,0.6881591474057227,0.018585708996667893,True
4,FS_ST107TS,0.6787922462579997,-0.009366901147722984,True
5,FS_ST44TA,0.6883852541386788,0.009593007880679072,True
6,FS_ST102SA,0.7013381287353889,0.012952874596710129,True
7,PTEDUCAT,0.7203601840588142,0.01902205532342527,False
8,FS_ST90TA,0.7479531390490295,0.0275929549902153,True
9,FS_ST11SV,0.7505051039297614,0.0025519648807319495,True
10,TAU_CTX_ENTORHINAL_SUVR,0.7527741048288993,0.0022690008991378408,True
11,FS_ST13TS,0.7544348653937695,0.0016607605648701895,True
12,FS_ST60CV,0.7541069445179034,-0.00032792087586608343,True
