step,feature,auc,gain,is_imaging
1,FS_ST72TA,0.6281400338995276,0.6281400338995276,True
2,FS_ST94TS,0.6964259439575895,0.06828591005806195,True
3,FS_ST80SV,0.7112676259511702,0.014841681993580713,True
4,FS_ST82TS,0.747233942803563,0.03596631685239282,True
5,FS_ST129TA,0.7847581953911067,0.03752425258754366,True
6,WMH_RIGHT_HIPPO,0.7932276677846298,0.008469472393523136,True
7,FS_ST119TS,0.8009019438133361,0.007674276028706295,True
8,FS_ST121CV,0.8158556024378811,0.014953658624545008,True
9,pT217_AB42_F,0.8244134299830502,0.008557827545169094,False
10,FS_ST38TS,0.8328598218471637,0.008446391864113445,True
11,FS_ST11SV,0.8304706264199935,-0.0023891954271701987,True
