step,feature,auc,gain,is_imaging
1,FS_ST90TA,0.7089971621470329,0.7089971621470329,True
2,FS_ST29SV,0.782309418459187,0.0733122563121541,True
3,FS_ST30SV,0.8020614592308105,0.019752040771623514,True
4,pT217_AB42_F,0.8315279136669635,0.029466454436153033,False
5,APOE4_count,0.8365603567030281,0.005032443036064538,False
6,FS_ST118CV,0.846876901434503,0.01031654473147492,True
7,FS_ST34TS,0.8578184552928635,0.010941553858360487,True
8,FS_ST40CV,0.8584434644197492,0.0006250091268856783,True
9,AMY_SUMMARY_SUVR,0.8620613618773639,0.0036178974576147604,True
10,FS_ST85SA,0.8587985611160599,-0.00326280076130403,True
11,FS_ST94TS,0.8602827144087968,0.0014841532927368783,True
12,FS_ST44TA,0.8598743167004969,-0.0004083977082999235,True
