step,feature,auc,gain,is_imaging
1,AMY_CENTILOIDS,0.7108533557900646,0.7108533557900646,True
2,FS_ST90CV,0.7635850066229812,0.05273165083291664,True
3,GFAP_Q,0.7665789450599577,0.0029939384369764843,False
4,FS_ST30SV,0.7838140477380985,0.017235102678140768,True
5,FS_ST23TS,0.7855864628016528,0.0017724150635543001,True
6,FS_ST113TA,0.7923217277647657,0.006735264963112941,True
7,FS_ST44TA,0.7936164986797899,0.0012947709150241682,True
8,FS_ST50TS,0.7926691053273333,-0.000947393352456638,True
9,APOE4_count,0.8043132714018789,0.011644166074545659,False
10,FS_ST52TA,0.8097774502837793,0.005464178881900428,True
11,FS_ST125SV,0.8152021544426609,0.0054247041588815215,True
12,FS_ST25TS,0.8152468924620824,4.473801942150857e-05,True
