step,feature,auc,gain,is_imaging
1,FS_ST29SV,0.7228172891244504,0.7228172891244504,True
2,FS_ST90TA,0.7608742347672459,0.03805694564279549,True
3,TAU_CTX_ENTORHINAL_SUVR,0.7838149494866492,0.022940714719403288,True
4,FS_ST54SA,0.7981019420135037,0.014286992526854503,True
5,FS_ST7SV,0.8059199387357282,0.007817996722224496,True
6,APOE4_count,0.8151066258542532,0.009186687118524994,False
7,AMY_SUMMARY_SUVR,0.8189992033818608,0.0038925775276076324,True
8,FS_ST38TS,0.8235606297163673,0.004561426334506513,True
9,FS_ST3SV,0.826869425384956,0.00330879566858866,True
10,FS_ST13TS,0.8310690820859069,0.0041996567009509045,True
11,FS_ST94TS,0.8325381897366366,0.0014691076507297174,True
12,FS_ST93TA,0.8312150640718372,-0.0013231256647994183,True
