covariate,coef,exp(coef),p
FS_ST99TA,-0.3237041599046013,0.7234642404535897,4.4634222255865866e-15
FS_ST12SV,-0.327750953006222,0.7205424462916864,1.1629312253957261e-13
APOE4_count,0.18008504227715616,1.1973191815419948,1.2179567908725708e-06
FS_ST10CV,0.11457437899158124,1.1213960462692114,5.81436970485677e-05
TAU_CTX_ENTORHINAL_SUVR,0.14900105265427577,1.1606742109971135,7.291008792096493e-05
FS_ST72CV,-0.14514159254854272,0.8648998210704822,0.00047557554224113746
FS_ST49TS,0.1224159736959339,1.130224147526088,0.000803745849101617
pT217_F,0.10535200629906061,1.1111016563082654,0.001489968617352231
NfL_F,-0.14012287716222427,0.8692514176887467,0.0026341443174156625
FS_ST83CV,-0.09520230476771388,0.9091889825957563,0.017270722532857306
