s01_rank,feature,s01_gain
1,FS_ST12SV,0.21102766248461352
2,FS_ST29SV,0.1255606485602502
3,FS_ST88SV,0.12005061094652324
4,TAU_CTX_ENTORHINAL_SUVR,0.10370831615264323
5,pT217_F,0.10181224524202606
6,TAU_META_TEMPORAL_SUVR,0.09458454328310929
7,FS_ST111TA,0.08084174284968151
8,AMY_SUMMARY_SUVR,0.07796435030357486
9,FS_ST99TA,0.07628953667265256
10,FS_ST89SV,0.06812194736995433
11,FS_ST40TA,0.06609308484593372
12,FS_ST49TS,0.06302398217665041
13,FS_ST58TA,0.06270975285736882
14,FS_ST32TA,0.06246555601195686
15,PTWORKHS,0.06231335169214745
16,AMY_CENTILOIDS,0.06164797747222861
17,pT217_AB42_F,0.05230369397862284
18,FS_ST90TA,0.05095995652248017
19,NfL_Q,0.04764666257065183
20,FS_ST60TA,0.04541124610732307
21,NfL_F,0.044886519330532546
22,FS_ST46TS,0.04374401909064979
23,FS_ST83CV,0.042534753492379375
24,FS_ST10CV,0.04113182591282106
25,FS_ST72TA,0.04096664647391212
26,AB42_AB40_F,0.03844099580431976
27,FS_ST23TA,0.03773659685343361
28,FS_ST83TA,0.03680104674310011
29,entry_age,0.03559837144778842
30,FS_ST117TS,0.034598118079572415
31,FS_ST115TS,0.03374275454143823
32,FS_ST125SV,0.033343262606076576
33,FS_ST39TA,0.0333295736130195
34,FS_ST15TS,0.03244248050383328
35,APOE4_count,0.031144518776333167
36,FS_ST71SV,0.030523788486975643
37,FS_ST72CV,0.027886781266858444
38,FS_ST93TA,0.02778377514442816
39,FS_ST52TA,0.027733913466715655
40,FS_ST4SV,0.02630516190000367
41,AB40_F,0.025624623737234627
42,GFAP_F,0.025589045795427326
43,FS_ST34TA,0.025487348483351904
44,FS_ST52CV,0.024076446086842115
45,FS_ST109TS,0.024066558247184875
46,FS_ST121TS,0.023698302842296765
47,FS_ST118TS,0.023694184373726113
48,FS_ST14CV,0.023431487803568157
49,FS_ST109SA,0.023348990988613785
50,FS_ST50TA,0.023118150368029847
51,FS_ST43TS,0.023057700336249334
52,FS_ST129TS,0.02150737495539743
53,FS_ST58CV,0.021101547818369294
54,FS_ST34CV,0.021039926374992367
55,FS_ST3SV,0.02091256184796822
56,FS_ST7SV,0.020327331686826745
57,FS_ST30SV,0.019945243659607353
58,FS_ST108CV,0.019822961546972
59,WMH_CEREBRUM_TCC,0.01955363253986179
60,FS_ST85TS,0.019407766098165146
61,FS_ST109TA,0.019165138994408748
62,FS_ST128SV,0.018645907594283095
63,WMH_LEFT_HIPPO,0.01844312280250578
64,FS_ST44TA,0.018248966072629158
65,FS_ST121SA,0.01788094924047293
66,FS_ST129SA,0.017689852457340116
67,FS_ST74TS,0.017682656888083504
68,FS_ST2SV,0.0175710806979748
69,FS_ST46SA,0.017466699411502144
70,FS_ST23CV,0.017434370568682238
71,FS_ST66SV,0.017196456021700605
72,FS_ST16SV,0.01702816987137145
73,FS_ST93CV,0.016872587440965897
74,FS_ST90TS,0.016549389666297168
75,FS_ST13TS,0.01604970030057304
76,FS_ST13TA,0.01573987652482557
77,FS_ST18SV,0.015120979234385785
