step,feature,auc,gain,is_imaging
1,FS_ST12SV,0.6654011425943474,0.6654011425943474,True
2,TAU_CTX_ENTORHINAL_SUVR,0.6978276134933626,0.03242647089901529,True
3,FS_ST99TA,0.7201455861934708,0.022317972700108157,True
4,NfL_F,0.7390874608619465,0.018941874668475744,False
5,FS_ST49TS,0.744382558086919,0.005295097224972456,True
6,APOE4_count,0.7514954980128118,0.007112939925892792,False
7,FS_ST10CV,0.7554334493971556,0.00393795138434383,True
8,pT217_F,0.7579636444512567,0.0025301950541011253,False
9,FS_ST72CV,0.7627032523167702,0.004739607865513418,True
10,FS_ST83CV,0.7640985557006276,0.0013953033838574047,True
11,FS_ST89SV,0.7652285976521706,0.0011300419515429816,True
12,FS_ST39TA,0.7662661344438366,0.0010375367916660716,True
13,AB40_F,0.7668886217114992,0.0006224872676625637,False
14,FS_ST14CV,0.7683637690863857,0.0014751473748865207,True
15,FS_ST93TA,0.7666141705206468,-0.0017495985657388635,True
