step,feature,auc,gain,is_imaging
1,TAU_CTX_ENTORHINAL_SUVR,0.6528332308533169,0.6528332308533169,True
2,pT217_AB42_F,0.6758304297328688,0.022997198879551872,False
3,FS_ST90TS,0.6817920338867254,0.005961604153856603,True
4,PTWORKHS,0.7156944729111157,0.033902439024390274,False
5,FS_ST60TA,0.7296645487463278,0.013970075835212148,True
6,FS_ST72CV,0.7412550386008062,0.011590489854478414,True
7,FS_ST46TA,0.7478554348568697,0.006600396256063457,True
8,FS_ST10CV,0.7586417981826876,0.01078636332581795,True
9,FS_ST2SV,0.7619785475165676,0.0033367493338799514,True
10,NfL_F,0.7667035594725695,0.0047250119560019455,False
11,FS_ST125SV,0.7695279087244654,0.002824349251895897,True
12,FS_ST18SV,0.7727334836373574,0.003205574912891973,True
13,PTEDUCAT,0.771659493065519,-0.0010739905718384346,False
