step,feature,auc,gain,is_imaging
1,pT217_F,0.7227320697531167,0.7227320697531167,False
2,FS_ST129TA,0.7379179272487423,0.015185857495625621,True
3,FS_ST109TA,0.726318991316293,-0.011598935932449317,True
4,FS_ST52TS,0.7696162379324818,0.043297246616188834,True
5,FS_ST84CV,0.7785946349626867,0.008978397030204865,True
6,TAU_CTX_ENTORHINAL_SUVR,0.7996140574661892,0.021019422503502527,True
7,FS_ST121CV,0.8075909663281493,0.00797690886196012,True
8,NfL_Q,0.8092165039493695,0.0016255376212201966,False
9,FS_ST51SA,0.8114168124853499,0.002200308535980411,True
10,FS_ST34TS,0.8151511880815712,0.003734375596221251,True
11,entry_age,0.8180034560390741,0.0028522679575029297,False
12,FS_ST82TS,0.8229122307805523,0.004908774741478217,True
13,PTEDUCAT,0.8112432473684498,-0.01166898341210254,False
