step,feature,auc,gain,is_imaging
1,FS_ST29SV,0.6950794763908368,0.6950794763908368,True
2,TAU_META_TEMPORAL_SUVR,0.7200815389269312,0.025002062536094383,True
3,FS_ST113TA,0.7253356777493606,0.005254138822429422,True
4,FS_ST109TA,0.7458955531721806,0.020559875422820006,True
5,pT217_F,0.7560260429557518,0.010130489783571228,False
6,FS_ST84TS,0.7617320490608586,0.005706006105106742,True
7,FS_ST24TA,0.7636316448037841,0.0018995957429255306,True
8,FS_ST50TS,0.7651403899568242,0.0015087451530401141,True
9,FS_ST89SV,0.7720222135137365,0.006881823556912248,True
10,FS_ST49CV,0.7749721557627258,0.002949942248989368,True
11,entry_age,0.7773251656903997,0.0023530099276738436,False
12,FS_ST13TS,0.7811037318153067,0.0037785661249070124,True
13,FS_ST75SV,0.7827180100651762,0.001614278249869483,True
14,FS_ST62SA,0.7863527142975002,0.0036347042323240375,True
15,PTMARRY,0.7885288617550807,0.002176147457580546,False
