step,feature,auc,gain,is_imaging
1,FS_ST88SV,0.6871058659702728,0.6871058659702728,True
2,APOE4_count,0.7246998132421861,0.03759394727191334,False
3,FS_ST50TA,0.7432062466638738,0.018506433421687674,True
4,FS_ST89SV,0.7593907923568941,0.016184545693020302,True
5,FS_ST24CV,0.7715450509179322,0.012154258561038134,True
6,GFAP_F,0.7843503842825876,0.012805333364655391,False
7,FS_ST90TA,0.7908443697935222,0.006493985510934608,True
8,AMY_SUMMARY_SUVR,0.7951015200337235,0.004257150240201235,True
9,FS_ST99CV,0.7998853977837028,0.004783877749979348,True
10,FS_ST73TA,0.8030986397088092,0.0032132419251064137,True
11,FS_ST45TS,0.8062986350104995,0.0031999953016902394,True
12,WMH_LEFT_HIPPO,0.8094757769503532,0.003177141939853745,True
13,FS_ST94TS,0.8113719664906107,0.001896189540257498,True
14,FS_ST50TS,0.8091487132504083,-0.0022232532402024496,True
