step,feature,auc,gain,is_imaging
1,FS_ST40TA,0.7227229839347895,0.7227229839347895,True
2,AMY_SUMMARY_SUVR,0.7699962310066477,0.047273247071858204,True
3,FS_ST44TA,0.7883698955365621,0.018373664529914402,True
4,FS_ST29SV,0.796050886356442,0.007680990819879829,True
5,FS_ST55TS,0.8075159267173155,0.01146504036087359,True
6,FS_ST74SA,0.8188973567584679,0.01138143004115233,True
7,APOE4_count,0.8329946779044001,0.014097321145932207,False
8,WMH_CEREBRUM_WHITE,0.8420554764165875,0.00906079851218744,True
9,FS_ST113TA,0.8426658752769864,0.0006103988603989308,True
10,entry_age,0.8429028767014879,0.00023700142450144845,False
11,WMH_LEFT_HIPPO,0.8388387939221273,-0.004064082779360545,True
