step,feature,auc,gain,is_imaging
1,PTWORKHS,0.7275295094793179,0.7275295094793179,False
2,FS_ST12SV,0.7746040315448113,0.04707452206549334,True
3,AMY_CENTILOIDS,0.7745357808342405,-6.825071057081633e-05,True
4,FS_ST129SA,0.8167541887775158,0.04221840794327536,True
5,FS_ST72SA,0.8255305753356315,0.008776386558115634,True
6,FS_ST14TS,0.8351815357402032,0.009650960404571696,True
7,NfL_Q,0.8393556057616716,0.004174070021468412,False
8,APOE4_count,0.8444680687212747,0.0051124629596031035,False
9,FS_ST93TA,0.8491929398358128,0.004724871114538121,True
10,FS_ST102CV,0.8527606056482824,0.0035676658124695892,True
11,FS_ST60TA,0.8538627417074867,0.001102136059204284,True
12,entry_age,0.8563674237270199,0.002504682019533244,False
13,FS_ST89SV,0.8529921459240446,-0.0033752778029753072,True
