step,feature,auc,gain,is_imaging
1,PTWORKHS,0.6908027955840456,0.6908027955840456,False
2,APOE4_count,0.7395484627255462,0.04874566714150064,False
3,PTHAND,0.7341824252136753,-0.005366037511870925,False
4,NfL_Q,0.7353622190566635,0.0011797938429882748,False
5,GFAP_F,0.7430037887780944,0.007641569721430819,False
6,AB42_AB40_F,0.7519903648306425,0.008986576052548156,False
7,PTMARRY,0.7531604245805635,0.0011700597499210152,False
8,entry_age,0.7432570334757835,-0.009903391104780002,False
9,AB42_F,0.7391807237258625,-0.004076309749921014,False
10,PTEDUCAT,0.7285488880974993,-0.010631835628363229,False
