step,feature,auc,gain,is_imaging
1,PTWORKHS,0.7275295094793179,0.7275295094793179,False
2,APOE4_count,0.7736999056981737,0.04617039621885577,False
3,pT217_AB42_F,0.7794441672714079,0.005744261573234155,False
4,NfL_Q,0.7988205421126633,0.019376374841255428,False
5,PTHAND,0.7984316604680696,-0.0003888816445937193,False
6,AB40_F,0.8014466684430939,0.0030150079750242975,False
7,GFAP_F,0.802008945444787,0.00056227700169309,False
8,PTGENDER,0.8039575112633044,0.0019485658185174337,False
9,PTEDUCAT,0.8062629688633891,0.002305457600084715,False
10,PTMARRY,0.8046417333771771,-0.0016212354862119582,False
11,entry_age,0.7960464053806846,-0.008595327996492541,False
