n_features,c_index,c_index_std,removed
10,0.7657400046114086,0.00871801764944075,none
9,0.7578836946487912,0.008710696721824956,FS_ST102CV
8,0.7637157970914753,0.008361916266914859,FS_ST12SV
7,0.7575837447664485,0.020105366751730518,FS_ST93TA
6,0.7548529455265236,0.01608946733497936,APOE4_count
5,0.7398626509945903,0.02193061119308593,GFAP_Q
4,0.7396484223163489,0.02211466641032199,FS_ST72CV
3,0.7215165736372912,0.025770902572947528,AMY_CENTILOIDS
2,0.6984516772207142,0.02758592508290988,FS_ST89SV
1,0.6572249189733415,0.020443779396646593,PTWORKHS
