idx,alpha,n_features,c_index
0,0.2463403715251258,34,0.692450463904264
1,0.2041281685266334,23,0.6809920614333498
2,0.16914933158565784,38,0.697760913763352
3,0.14016437115165598,24,0.6791713393329413
4,0.11614619316654134,48,0.7235674728183035
5,0.09624370356203862,29,0.6905600397065682
6,0.07975164938945195,17,0.6710433678763944
7,0.06608562788981007,37,0.7001371522538334
8,0.05476137794045508,37,0.7001371522538334
9,0.04537762006192205,32,0.708984337137237
10,0.03760183691365745,46,0.7167812787528638
11,0.031158490404562738,42,0.7143832858864301
12,0.025819257886802945,35,0.7137300614995319
13,0.021394941448370574,33,0.6853780511044931
14,0.017728763606841412,17,0.6454932337837914
15,0.014690811834458285,33,0.6895433273426665
16,0.012173435053991927,28,0.6847639144195588
17,0.010087428978306286,39,0.7049219944625944
18,0.008358875119558417,26,0.6884946081640139
19,0.006926521457016919,19,0.6627433623925263
20,0.005739611946379969,42,0.7143832858864301
21,0.00475608795835817,32,0.7021275016561105
22,0.003941097913754688,39,0.7125364426196845
23,0.003265762303345497,20,0.6678928553017883
24,0.002706150330528514,36,0.7053619244604418
25,0.0022424319136507688,21,0.6687329065190063
26,0.0018581749988654094,33,0.6895433273426665
27,0.001539763283509083,25,0.6786137480343972
28,0.0012759137167868,35,0.6989861539393945
29,0.0010572766802015405,22,0.6687717543031091
30,0.0008761046799568,30,0.6852567971017531
31,0.0007259778113103687,33,0.6895433273426665
32,0.0006015762665951988,30,0.6852567971017531
33,0.0004984918256350143,25,0.6786137480343972
34,0.00041307164863959217,35,0.6972516322014581
35,0.0003422888363163676,22,0.6701587634876647
36,0.00028363517044239806,31,0.6796903127623034
37,0.00023503223411449977,33,0.6895433273426665
38,0.00019475776218687044,19,0.6724104480904318
39,0.00016138461209350155,28,0.6847639144195588
40,0.00013373019246123676,27,0.6865151140572863
41,0.00011081455749546985,24,0.6791713393329413
42,9.1825682195711e-05,27,0.6724846801269428
43,7.609068791392699e-05,31,0.6796903127623034
44,6.305199862141689e-05,34,0.692450463904264
45,5.224758297168063e-05,24,0.6791713393329413
46,4.3294582028608634e-05,30,0.6873563212948403
47,3.587574250177085e-05,29,0.6812455622774206
48,2.9728174744888048e-05,29,0.6778837813148559
49,2.4634037152512635e-05,21,0.6687329065190063
