step,feature,auc,gain,is_imaging
1,PTWORKHS,0.7076192928039703,0.7076192928039703,False
2,FS_ST89SV,0.7547648107940447,0.04714551799007438,True
3,AMY_CENTILOIDS,0.7561766439205956,0.0014118331265509099,True
4,FS_ST72CV,0.7857509615384616,0.029574317617865997,True
5,GFAP_Q,0.795091361662531,0.009340400124069448,False
6,APOE4_count,0.8053161522952854,0.010224790632754388,False
7,FS_ST93TA,0.8045896944789082,-0.0007264578163772573,True
8,FS_ST12SV,0.8070678892679901,0.0024781947890819556,True
9,FS_ST102CV,0.8131517834987593,0.00608389423076916,True
10,FS_ST84TS,0.817131358560794,0.003979575062034724,True
11,FS_ST52TA,0.8182162686104221,0.001084910049628074,True
12,WMH_CEREBRUM_TCC,0.818255350496278,3.908188585588501e-05,True
