feature,coef,is_imaging
FS_ST109CV,-1.5848281142737364,True
FS_ST108TS,-1.5682154133549033,True
FS_ST108TA,-1.5463232975900614,True
FS_ST108SA,-1.5113452530157971,True
FS_ST108CV,-1.5107907398215683,True
FS_ST107TS,-1.4209218551278537,True
FS_ST107TA,-1.4203608221115809,True
FS_ST107SA,-1.2938136364000075,True
FS_ST107CV,-1.293254962258337,True
FS_ST106TS,-1.2064015804572727,True
FS_ST106TA,-1.1319667915988625,True
FS_ST106SA,-1.0649972940438364,True
FS_ST106CV,-0.9999675265454528,True
FS_ST105TS,-0.9293800241628257,True
FS_ST105TA,-0.8456553666167398,True
FS_ST105SA,-0.7597320653762782,True
FS_ST105CV,-0.6962062915413756,True
FS_ST104TS,-0.6414376040276044,True
FS_ST104TA,-0.5945954415189227,True
FS_ST104SA,-0.5581696433825292,True
FS_ST104CV,-0.5115120827986339,True
FS_ST103TS,-0.4948244644257774,True
FS_ST103TA,-0.46701218410815587,True
FS_ST103SA,-0.4193406682495728,True
FS_ST103CV,-0.3839374188610813,True
FS_ST102TS,-0.3593263727133217,True
FS_ST102SA,-0.3507308590793702,True
FS_ST102TA,-0.34829265072917054,True
FS_ST102CV,-0.3419078753694047,True
FS_ST101SV,-0.336021599005907,True
GFAP_F,-0.3191476658181661,False
NfL_F,-0.30288434964957023,False
GFAP_Q,-0.276526703229192,False
NfL_Q,-0.24712420153629241,False
pT217_AB42_F,-0.2197881569236822,False
AB42_AB40_F,-0.2029029923260877,False
AB40_F,-0.1921558640862208,False
AB42_F,-0.1804121589392675,False
pT217_F,-0.1563124366292744,False
APOE4_carrier,-0.13851994375975427,False
APOE4_count,-0.1325205801491996,False
age,-0.12290734699853496,False
entry_age,-0.10927952689503113,False
education_years,-0.10104118866598902,False
sex,-0.08282080579631904,False
PTWORKHS,-0.06336717025200779,False
PTHAND,-0.04095743933711049,False
PTMARRY,-0.008744477544093174,False
