n_estimators,max_depth,min_samples_leaf,c_index,std
1000,None,10,0.7257150738210759,0.023891098861971757
1000,8,15,0.7253821219873051,0.02589800789365454
1000,None,15,0.7253295742918491,0.025886775209534144
1000,5,10,0.7251328361446814,0.02385710088515224
500,5,10,0.7250117395049235,0.025403092860252934
500,None,15,0.7249624177392318,0.025876192445346072
200,None,15,0.7249611218262031,0.027726428856678358
1000,8,10,0.724773204804786,0.02317717661750822
100,None,15,0.7246594004923324,0.02865203608385094
200,8,5,0.7246460581166411,0.024176198882032495
200,8,15,0.7244861803343606,0.02698897169042605
1000,5,15,0.7244720047539573,0.024485231808616777
500,8,15,0.7244661158208319,0.02648168873482494
500,8,10,0.7242019555259072,0.02500809997485745
200,5,15,0.7241460847020692,0.02675443886761742
100,8,3,0.7241410062483549,0.020073828604057792
500,None,10,0.7239454390630902,0.02553832383585261
100,8,5,0.7238524787880283,0.023279031717327675
100,5,10,0.7238342908692657,0.029043016273215237
100,5,15,0.7237986034370362,0.02843585947692842
1000,5,5,0.7237804881428517,0.021656621096783325
100,8,15,0.7237581026548222,0.028556116355582313
500,5,15,0.7236839059236969,0.025744242330575384
1000,8,5,0.7236227159957211,0.02191240811182043
500,5,5,0.7235777512321644,0.023762901204783273
100,5,5,0.7235674728183035,0.023365519056543247
500,8,5,0.7233530866470786,0.022562876199081754
200,8,10,0.7232793188647417,0.023789084793909294
200,None,10,0.7231714344484643,0.026864195398840846
200,5,10,0.7230423810572655,0.02537648162953278
1000,5,3,0.7229609849465117,0.020794730416763912
1000,3,15,0.7227894101856913,0.025000987492628628
200,5,5,0.722666830520245,0.024818782551447423
500,5,3,0.7224673777749476,0.021452293473729265
200,8,3,0.7224064210214053,0.019328740048155622
100,5,3,0.7223451112338793,0.021214356073367045
100,3,10,0.722205790625672,0.024871764779693894
100,3,15,0.7222032796419479,0.02477877027900963
500,3,15,0.7221126308342741,0.02558521059208202
200,3,15,0.7220879881488068,0.025548790632506015
100,8,10,0.7220715183733052,0.0248177013514652
500,3,10,0.7220495693567918,0.02628487472969568
1000,3,10,0.7220415570035155,0.02530379888079965
100,None,10,0.7219793763227444,0.026200655457906515
200,5,3,0.7216630609303348,0.02140430279017006
500,8,3,0.7213576037345849,0.017517527032711273
1000,8,3,0.7212224069908426,0.01855069532832978
100,3,5,0.7211281093519153,0.02251246635178098
1000,None,5,0.7206857547455943,0.020926876089897198
200,3,10,0.7205448701164137,0.02599773862476502
1000,3,5,0.7203365094927511,0.024377942451276717
100,3,3,0.7202369710037623,0.020075674322010243
500,None,5,0.720027692179964,0.022802130507942036
500,3,5,0.7197668868063513,0.025119192440210544
1000,3,3,0.7196747153130725,0.022514550686966152
200,3,5,0.7191935939989638,0.024033915877554376
500,3,3,0.7189475475719898,0.022890849307656735
200,3,3,0.7186692230946379,0.021760741320982963
100,None,5,0.718592497980935,0.025447614196594286
200,None,3,0.7176583686125276,0.020954617961295934
1000,None,3,0.7175007313673033,0.02146824029457318
200,None,5,0.7173293833926895,0.026133005016731804
500,None,3,0.7165505414467346,0.02030799997391842
100,None,3,0.7163541469205369,0.02156542417156588
