Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.868,0.663,0.868,0.003,0.531,0.006,0.851,0.005,1.904,0.0,0.015,0.056,0.015,0.0,0.058,0.001,0.035,0.001,0.196
0.002,0.939,0.469,0.939,0.005,0.408,0.009,0.851,0.005,2.575,0.0,0.013,0.103,0.013,0.001,0.092,0.001,0.035,0.001,0.574
0.003,0.955,0.381,0.955,0.005,0.336,0.01,0.851,0.005,3.153,0.0,0.011,0.087,0.011,0.001,0.078,0.001,0.035,0.001,0.783
0.004,0.966,0.32,0.966,0.006,0.287,0.011,0.851,0.005,3.645,0.0,0.009,0.067,0.009,0.001,0.062,0.002,0.035,0.001,0.726
0.005,0.973,0.29,0.974,0.007,0.263,0.014,0.851,0.005,4.228,0.0,0.012,0.097,0.012,0.001,0.085,0.002,0.035,0.001,1.36
0.006,0.99,0.143,0.99,0.009,0.133,0.017,0.851,0.005,8.767,0.0,0.004,0.048,0.004,0.001,0.044,0.002,0.035,0.001,3.864
0.007,0.991,0.126,0.992,0.009,0.118,0.017,0.851,0.005,9.744,0.0,0.003,0.045,0.003,0.001,0.042,0.002,0.035,0.001,3.609
0.008,0.991,0.126,0.992,0.009,0.118,0.017,0.851,0.005,9.744,0.0,0.003,0.045,0.003,0.001,0.042,0.002,0.035,0.001,3.609
0.009,0.991,0.126,0.992,0.009,0.118,0.017,0.851,0.005,9.744,0.0,0.003,0.045,0.003,0.001,0.042,0.002,0.035,0.001,3.609
0.01,0.994,0.085,0.994,0.016,0.079,0.017,0.851,0.005,29.973,0.0,0.005,0.064,0.005,0.015,0.059,0.005,0.035,0.001,25.898
0.011,0.997,0.031,0.998,0.019,0.028,0.014,0.851,0.005,inf,0.0,0.003,0.036,0.003,0.018,0.033,0.009,0.035,0.001,
0.012,0.997,0.031,0.998,0.019,0.028,0.014,0.851,0.005,inf,0.0,0.003,0.036,0.003,0.018,0.033,0.009,0.035,0.001,
0.013,0.997,0.031,0.998,0.019,0.028,0.014,0.851,0.005,inf,0.0,0.003,0.036,0.003,0.018,0.033,0.009,0.035,0.001,
0.014,0.997,0.031,0.998,0.019,0.028,0.015,0.851,0.005,inf,0.0,0.003,0.036,0.003,0.018,0.033,0.009,0.035,0.001,
0.015,0.998,0.017,0.999,0.019,0.016,0.014,0.851,0.005,inf,0.0,0.001,0.011,0.001,0.018,0.01,0.009,0.035,0.001,
0.016,0.999,0.01,0.999,0.018,0.01,0.012,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.019,0.009,0.011,0.035,0.001,
0.017,0.999,0.01,0.999,0.018,0.01,0.012,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.019,0.009,0.011,0.035,0.001,
0.018,0.999,0.007,0.999,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.009,0.012,0.035,0.001,
0.019,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.02,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.021,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.022,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.023,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.024,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.025,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.026,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.027,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.028,0.999,0.007,1.0,0.016,0.006,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.029,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.03,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.031,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.032,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.033,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.034,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.035,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.036,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
0.037,0.999,0.007,1.0,0.016,0.007,0.01,0.851,0.005,inf,0.0,0.0,0.008,0.0,0.02,0.008,0.012,0.035,0.001,
