Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.386,0.984,0.38,0.014,0.364,0.027,0.845,0.043,2.787,0.0,0.045,0.005,0.045,0.001,0.04,0.002,0.005,0.003,0.358
0.002,0.461,0.971,0.457,0.015,0.427,0.03,0.845,0.043,2.341,0.0,0.012,0.005,0.012,0.0,0.009,0.001,0.005,0.003,0.049
0.003,0.53,0.947,0.527,0.017,0.473,0.034,0.845,0.043,2.113,0.0,0.021,0.01,0.021,0.001,0.012,0.001,0.005,0.003,0.052
0.004,0.588,0.925,0.585,0.019,0.509,0.038,0.845,0.043,1.965,0.0,0.031,0.019,0.031,0.001,0.013,0.002,0.005,0.003,0.053
0.005,0.628,0.905,0.626,0.021,0.53,0.041,0.845,0.043,1.886,0.0,0.015,0.009,0.015,0.001,0.01,0.001,0.005,0.003,0.034
0.006,0.656,0.885,0.654,0.022,0.538,0.043,0.845,0.043,1.858,0.0,0.011,0.013,0.012,0.0,0.005,0.001,0.005,0.003,0.017
0.007,0.657,0.884,0.655,0.022,0.539,0.043,0.845,0.043,1.857,0.0,0.012,0.013,0.012,0.0,0.005,0.001,0.005,0.003,0.016
0.008,0.66,0.882,0.658,0.022,0.541,0.043,0.845,0.043,1.849,0.0,0.008,0.011,0.008,0.0,0.008,0.001,0.005,0.003,0.027
0.009,0.712,0.826,0.711,0.025,0.537,0.048,0.845,0.043,1.864,0.0,0.012,0.025,0.013,0.001,0.018,0.001,0.005,0.003,0.063
0.01,0.729,0.806,0.729,0.026,0.535,0.05,0.845,0.043,1.87,0.0,0.025,0.027,0.026,0.002,0.016,0.003,0.005,0.003,0.057
0.011,0.757,0.775,0.757,0.027,0.532,0.053,0.845,0.043,1.883,0.0,0.016,0.013,0.017,0.002,0.016,0.003,0.005,0.003,0.056
0.012,0.77,0.759,0.77,0.028,0.53,0.055,0.845,0.043,1.89,0.0,0.009,0.023,0.009,0.001,0.017,0.001,0.005,0.003,0.062
0.013,0.788,0.727,0.789,0.03,0.516,0.057,0.845,0.043,1.94,0.0,0.02,0.033,0.02,0.002,0.02,0.003,0.005,0.003,0.076
0.014,0.799,0.707,0.8,0.03,0.507,0.058,0.845,0.043,1.976,0.0,0.023,0.042,0.023,0.002,0.023,0.003,0.005,0.003,0.091
0.015,0.822,0.673,0.823,0.032,0.495,0.062,0.845,0.043,2.023,0.0,0.01,0.031,0.01,0.001,0.024,0.002,0.005,0.003,0.096
0.016,0.822,0.672,0.823,0.032,0.495,0.062,0.845,0.043,2.024,0.0,0.01,0.032,0.01,0.001,0.024,0.002,0.005,0.003,0.097
0.017,0.822,0.672,0.823,0.032,0.495,0.062,0.845,0.043,2.024,0.0,0.01,0.032,0.011,0.001,0.024,0.002,0.005,0.003,0.097
0.018,0.822,0.671,0.824,0.032,0.495,0.062,0.845,0.043,2.025,0.0,0.01,0.031,0.01,0.001,0.024,0.002,0.005,0.003,0.097
0.019,0.837,0.638,0.839,0.034,0.477,0.064,0.845,0.043,2.099,0.0,0.017,0.035,0.018,0.002,0.021,0.004,0.005,0.003,0.092
0.02,0.865,0.574,0.868,0.037,0.442,0.07,0.845,0.043,2.266,0.0,0.012,0.016,0.012,0.003,0.01,0.005,0.005,0.003,0.053
0.021,0.871,0.559,0.874,0.038,0.433,0.07,0.845,0.043,2.314,0.0,0.011,0.025,0.011,0.002,0.018,0.004,0.005,0.003,0.102
0.022,0.88,0.535,0.883,0.039,0.419,0.072,0.845,0.043,2.395,0.0,0.003,0.021,0.003,0.002,0.021,0.003,0.005,0.003,0.118
0.023,0.883,0.529,0.886,0.039,0.414,0.073,0.845,0.043,2.419,0.0,0.005,0.024,0.005,0.002,0.022,0.003,0.005,0.003,0.128
0.024,0.888,0.513,0.892,0.04,0.404,0.074,0.845,0.043,2.49,0.0,0.012,0.045,0.012,0.002,0.034,0.003,0.005,0.003,0.217
0.025,0.894,0.493,0.898,0.041,0.39,0.075,0.845,0.043,2.583,0.0,0.012,0.046,0.013,0.002,0.035,0.003,0.005,0.003,0.232
0.026,0.894,0.493,0.898,0.041,0.39,0.075,0.845,0.043,2.583,0.0,0.012,0.046,0.013,0.002,0.035,0.003,0.005,0.003,0.232
0.027,0.902,0.461,0.906,0.042,0.368,0.077,0.845,0.043,2.756,0.0,0.017,0.056,0.017,0.003,0.04,0.005,0.005,0.003,0.333
0.028,0.904,0.457,0.908,0.042,0.365,0.077,0.845,0.043,2.773,0.0,0.017,0.054,0.017,0.003,0.038,0.005,0.005,0.003,0.322
0.029,0.922,0.395,0.926,0.045,0.321,0.081,0.845,0.043,3.147,0.0,0.011,0.044,0.012,0.003,0.033,0.004,0.005,0.003,0.316
0.03,0.922,0.394,0.926,0.045,0.321,0.081,0.845,0.043,3.149,0.0,0.011,0.045,0.012,0.003,0.034,0.004,0.005,0.003,0.319
0.031,0.93,0.367,0.935,0.047,0.301,0.083,0.845,0.043,3.332,0.0,0.004,0.021,0.004,0.003,0.019,0.004,0.005,0.003,0.198
0.032,0.931,0.36,0.936,0.047,0.296,0.084,0.845,0.043,3.38,0.0,0.005,0.012,0.005,0.003,0.01,0.004,0.005,0.003,0.116
0.033,0.936,0.341,0.941,0.049,0.282,0.085,0.845,0.043,3.573,0.0,0.007,0.031,0.007,0.002,0.025,0.004,0.005,0.003,0.343
0.034,0.938,0.331,0.944,0.05,0.274,0.086,0.845,0.043,3.667,0.0,0.008,0.028,0.008,0.004,0.021,0.005,0.005,0.003,0.291
0.035,0.945,0.306,0.951,0.052,0.257,0.089,0.845,0.043,3.95,0.0,0.007,0.036,0.007,0.003,0.03,0.004,0.005,0.003,0.477
0.036,0.945,0.306,0.951,0.052,0.257,0.089,0.845,0.043,3.95,0.0,0.007,0.036,0.007,0.003,0.03,0.004,0.005,0.003,0.477
0.037,0.95,0.289,0.955,0.054,0.244,0.091,0.845,0.043,4.161,0.0,0.007,0.037,0.007,0.003,0.031,0.004,0.005,0.003,0.549
0.038,0.95,0.289,0.955,0.054,0.244,0.091,0.845,0.043,4.161,0.0,0.007,0.037,0.007,0.003,0.031,0.004,0.005,0.003,0.549
0.039,0.955,0.264,0.961,0.056,0.225,0.093,0.845,0.043,4.505,0.0,0.004,0.03,0.005,0.003,0.026,0.004,0.005,0.003,0.521
0.04,0.955,0.264,0.961,0.056,0.225,0.093,0.845,0.043,4.505,0.0,0.004,0.03,0.005,0.003,0.026,0.004,0.005,0.003,0.521
0.041,0.957,0.254,0.963,0.057,0.217,0.093,0.845,0.043,4.643,0.0,0.003,0.019,0.003,0.003,0.017,0.004,0.005,0.003,0.372
0.042,0.957,0.253,0.963,0.057,0.216,0.093,0.845,0.043,4.653,0.0,0.003,0.019,0.003,0.003,0.017,0.004,0.005,0.003,0.366
0.043,0.959,0.24,0.965,0.057,0.205,0.092,0.845,0.043,5.048,0.0,0.005,0.039,0.005,0.002,0.034,0.005,0.005,0.003,1.036
0.044,0.959,0.24,0.965,0.057,0.205,0.092,0.845,0.043,5.048,0.0,0.005,0.039,0.005,0.002,0.034,0.005,0.005,0.003,1.036
0.045,0.963,0.217,0.969,0.059,0.187,0.092,0.845,0.043,5.551,0.0,0.006,0.042,0.007,0.004,0.036,0.006,0.005,0.003,1.044
0.046,0.964,0.214,0.97,0.06,0.184,0.093,0.845,0.043,5.641,0.0,0.007,0.044,0.008,0.006,0.037,0.007,0.005,0.003,1.071
0.047,0.966,0.202,0.973,0.062,0.175,0.094,0.845,0.043,5.856,0.0,0.006,0.034,0.006,0.006,0.028,0.007,0.005,0.003,0.868
0.048,0.966,0.202,0.973,0.062,0.175,0.094,0.845,0.043,5.866,0.0,0.006,0.034,0.006,0.006,0.028,0.008,0.005,0.003,0.881
0.049,0.967,0.193,0.974,0.064,0.167,0.094,0.845,0.043,6.244,0.0,0.008,0.042,0.008,0.009,0.034,0.008,0.005,0.003,1.205
0.05,0.97,0.175,0.977,0.065,0.152,0.094,0.845,0.043,6.687,0.0,0.004,0.023,0.004,0.009,0.02,0.008,0.005,0.003,0.818
0.051,0.971,0.169,0.978,0.065,0.148,0.093,0.845,0.043,6.947,0.0,0.004,0.027,0.004,0.008,0.024,0.008,0.005,0.003,1.069
0.052,0.973,0.154,0.981,0.067,0.135,0.092,0.845,0.043,7.91,0.0,0.005,0.039,0.006,0.008,0.034,0.01,0.005,0.003,2.089
0.053,0.974,0.152,0.981,0.067,0.133,0.091,0.845,0.043,8.062,0.0,0.005,0.04,0.006,0.009,0.034,0.009,0.005,0.003,2.108
0.054,0.974,0.152,0.981,0.067,0.133,0.091,0.845,0.043,8.062,0.0,0.005,0.04,0.006,0.009,0.034,0.009,0.005,0.003,2.108
0.055,0.976,0.14,0.983,0.069,0.123,0.09,0.845,0.043,8.61,0.0,0.005,0.034,0.005,0.008,0.03,0.009,0.005,0.003,1.876
0.056,0.976,0.138,0.983,0.069,0.121,0.09,0.845,0.043,8.715,0.0,0.004,0.035,0.005,0.008,0.03,0.009,0.005,0.003,1.875
