Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26641-0.0,0.00044444444444444447,0.8567605976403436,True,1.3,3.2,,26641-0.0,,
26555-0.0,0.03044444444444444,0.4624221418341773,True,1.3,3.2,,26555-0.0,,
26621-0.0,0.00022222222222222223,0.439568284619109,True,1.3,3.2,,26621-0.0,,
26643-0.0,0.015333333333333334,0.40995122932854394,True,1.3,3.2,,26643-0.0,,
25094-0.0,0.00022222222222222223,0.3849404295683467,True,5.0,27.4,,25094-0.0,,
25558-0.0,0.00022222222222222223,0.18993506224711676,True,5.0,27.4,,25558-0.0,,
26625-0.0,0.0028888888888888888,0.15211472493343225,True,1.3,3.2,,26625-0.0,,
25781-0.0,0.00022222222222222223,0.1417176590440796,True,3.0,16.1,,25781-0.0,,
25629-0.0,0.00044444444444444447,0.11831503881376372,True,5.0,27.4,,25629-0.0,,
25602-0.0,0.003777777777777778,0.10769477730904331,True,5.0,27.4,,25602-0.0,,
25087-0.0,0.002,0.09334947679958193,True,5.0,27.4,,25087-0.0,,
25656-0.0,0.024444444444444446,0.09017575189795318,True,5.0,27.4,,25656-0.0,,
27679-0.0,0.00044444444444444447,0.0832189279847087,True,1.3,3.2,,27679-0.0,,
27456-0.0,0.00022222222222222223,0.08216816739762088,True,1.3,3.2,,27456-0.0,,
25890-0.0,0.0024444444444444444,0.0771082714996962,True,0.0,0.0,,25890-0.0,,
25902-0.0,0.0011111111111111111,0.07382825708775918,True,0.0,0.0,,25902-0.0,,
25675-0.0,0.00022222222222222223,0.067635231652358,True,5.0,27.4,,25675-0.0,,
25869-0.0,0.0006666666666666668,0.06410951858862453,True,0.0,0.0,,25869-0.0,,
27473-0.0,0.014444444444444446,0.05158186566087346,True,1.3,3.2,,27473-0.0,,
27103-0.0,0.0015555555555555557,0.050363826183266194,True,1.3,3.2,,27103-0.0,,
26624-0.0,0.002,0.047781097880597645,True,1.3,3.2,,26624-0.0,,
25521-0.0,0.00022222222222222223,0.04588450741337226,True,5.0,27.4,,25521-0.0,,
25202-0.0,0.0015555555555555557,0.042393707948998965,True,5.0,27.4,,25202-0.0,,
25496-0.0,0.0011111111111111111,0.04104508513256292,True,5.0,27.4,,25496-0.0,,
25098-0.0,0.00022222222222222223,0.04101307992932393,True,5.0,27.4,,25098-0.0,,
26682-0.0,0.006666666666666666,0.040440045364696156,True,1.3,3.2,,26682-0.0,,
25666-0.0,0.0024444444444444444,0.03932449985353907,True,5.0,27.4,,25666-0.0,,
25333-0.0,0.0006666666666666668,0.038592180091238035,True,5.0,27.4,,25333-0.0,,
25245-0.0,0.00022222222222222223,0.03839836415534912,True,5.0,27.4,,25245-0.0,,
25381-0.0,0.0035555555555555557,0.03793220916253979,True,5.0,27.4,,25381-0.0,,
30210-0.0,0.0024444444444444444,0.03765459998295547,False,5.0,8.1,,30210-0.0,,
26537-0.0,0.003111111111111111,0.03708054743578417,True,1.3,3.2,,26537-0.0,,
26648-0.0,0.00022222222222222223,0.03232862746734738,True,1.3,3.2,,26648-0.0,,
26598-0.0,0.00022222222222222223,0.030258863477051146,True,1.3,3.2,,26598-0.0,,
26898-0.0,0.0013333333333333333,0.028866563871341157,True,1.3,3.2,,26898-0.0,,
30070-0.0,0.007333333333333334,0.02781159871540833,False,4.8,8.1,,30070-0.0,,
26646-0.0,0.04666666666666666,0.02399260336771423,True,1.3,3.2,,26646-0.0,,
26608-0.0,0.006222222222222223,0.02211067742665996,True,1.3,3.2,,26608-0.0,,
25522-0.0,0.0006666666666666668,0.021202624741044226,True,5.0,27.4,,25522-0.0,,
26984-0.0,0.00022222222222222223,0.021165718342289603,True,1.3,3.2,,26984-0.0,,
25513-0.0,0.00022222222222222223,0.017533272999710282,True,5.0,27.4,,25513-0.0,,
26585-0.0,0.04422222222222222,0.008160636299350878,True,1.3,3.2,,26585-0.0,,
25167-0.0,0.05466666666666667,0.00803518137567423,True,5.0,27.4,,25167-0.0,,
25552-0.0,0.060666666666666674,0.00783671271974757,True,5.0,27.4,,25552-0.0,,
26511-0.0,0.02311111111111111,0.006390618228596241,True,1.3,3.2,,26511-0.0,,
25734-0.0,0.06733333333333333,0.006317094743090906,True,0.0,0.0,,25734-0.0,,
25198-0.0,0.059555555555555556,0.006137759297561503,True,5.0,27.4,,25198-0.0,,
25866-0.0,0.052444444444444446,0.005883249831636874,True,0.0,0.0,,25866-0.0,,
1608-0.0,0.050444444444444445,0.005264469648264615,False,23.9,16.1,,1608-0.0,,
25195-0.0,0.019777777777777776,0.003932417263050206,True,5.0,27.4,,25195-0.0,,
26709-0.0,0.03733333333333333,0.0037270370174280806,True,1.3,3.2,,26709-0.0,,
