Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
26641-0.0,0.05888888888888889,0.3703354628454862,1.3,3.2,,26641-0.0,,
26555-0.0,0.05084444444444445,0.14887312815982234,1.3,3.2,,26555-0.0,,
25629-0.0,0.018577777777777776,0.08824731002569561,5.0,27.4,,25629-0.0,,
25094-0.0,0.027511111111111115,0.08757833845472254,5.0,27.4,,25094-0.0,,
25656-0.0,0.03688888888888889,0.07089302150695612,5.0,27.4,,25656-0.0,,
26682-0.0,0.03515555555555556,0.044687359394725776,1.3,3.2,,26682-0.0,,
25198-0.0,0.05524444444444445,0.04044772348072585,5.0,27.4,,25198-0.0,,
25195-0.0,0.048044444444444445,0.02747006911956317,5.0,27.4,,25195-0.0,,
25245-0.0,0.026755555555555553,0.021887420756547427,5.0,27.4,,25245-0.0,,
26537-0.0,0.0396,0.01737947880873505,1.3,3.2,,26537-0.0,,
25734-0.0,0.06755555555555556,0.015436188230291793,0.0,0.0,,25734-0.0,,
27103-0.0,0.05951111111111111,0.011011677823336997,1.3,3.2,,27103-0.0,,
25167-0.0,0.047377777777777776,0.010752075807986053,5.0,27.4,,25167-0.0,,
27679-0.0,0.03426666666666667,0.00883720326650526,1.3,3.2,,27679-0.0,,
25552-0.0,0.06471111111111111,0.008561360308663878,5.0,27.4,,25552-0.0,,
25869-0.0,0.05257777777777778,0.005799383578916966,0.0,0.0,,25869-0.0,,
1608-0.0,0.03053333333333333,0.0043121204352140514,23.9,16.1,,1608-0.0,,
25890-0.0,0.04177777777777778,0.00368693336584537,0.0,0.0,,25890-0.0,,
30070-0.0,0.04479999999999999,0.0033207208497652114,4.8,8.1,,30070-0.0,,
26624-0.0,0.05004444444444445,0.003257496644183003,1.3,3.2,,26624-0.0,,
25087-0.0,0.0392,0.002662114067693943,5.0,27.4,,25087-0.0,,
30210-0.0,0.035244444444444446,0.0020918238408236403,5.0,8.1,,30210-0.0,,
25558-0.0,0.01937777777777778,0.001727945486824568,5.0,27.4,,25558-0.0,,
25202-0.0,0.015511111111111111,0.0007436437409691715,5.0,27.4,,25202-0.0,,
