Features,SelectionOrder,CumulativeAUC,Gain,Cover,NA_full,NA_target,Path,Field,ValueType,Units
26641-0.0,1,0.8044773845556048,0.3703354628454862,0.05888888888888889,1.3,3.2,,26641-0.0,,
25629-0.0,2,0.8500830572623412,0.08824731002569561,0.018577777777777776,5.0,27.4,,25629-0.0,,
26555-0.0,3,0.8462967755324563,0.14887312815982234,0.05084444444444445,1.3,3.2,,26555-0.0,,
26537-0.0,4,0.8984787143756858,0.01737947880873505,0.0396,1.3,3.2,,26537-0.0,,
25552-0.0,5,0.8947065337933593,0.008561360308663878,0.06471111111111111,5.0,27.4,,25552-0.0,,
25198-0.0,6,0.9070634216316853,0.04044772348072585,0.05524444444444445,5.0,27.4,,25198-0.0,,
25087-0.0,7,0.9116986450894942,0.002662114067693943,0.0392,5.0,27.4,,25087-0.0,,
27103-0.0,8,0.9190904495322727,0.011011677823336997,0.05951111111111111,1.3,3.2,,27103-0.0,,
1608-0.0,9,0.8898864192525997,0.0043121204352140514,0.03053333333333333,23.9,16.1,,1608-0.0,,
25890-0.0,10,0.9275799053502471,0.00368693336584537,0.04177777777777778,0.0,0.0,,25890-0.0,,
