Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.604,0.881,0.604,0.004,0.484,0.008,0.842,0.012,2.064,0.0,0.043,0.04,0.043,0.0,0.007,0.001,0.005,0.001,0.03
0.002,0.779,0.748,0.779,0.006,0.528,0.012,0.842,0.012,1.895,0.0,0.022,0.031,0.022,0.0,0.01,0.001,0.005,0.001,0.036
0.003,0.818,0.698,0.818,0.007,0.516,0.014,0.842,0.012,1.94,0.0,0.024,0.022,0.024,0.001,0.011,0.002,0.005,0.001,0.042
0.004,0.855,0.641,0.855,0.008,0.496,0.016,0.842,0.012,2.016,0.0,0.019,0.022,0.019,0.001,0.007,0.002,0.005,0.001,0.03
0.005,0.887,0.564,0.887,0.009,0.451,0.018,0.842,0.012,2.223,0.0,0.018,0.042,0.018,0.001,0.025,0.002,0.005,0.001,0.119
0.006,0.93,0.44,0.931,0.012,0.371,0.023,0.842,0.012,2.718,0.0,0.009,0.042,0.009,0.001,0.034,0.001,0.005,0.001,0.259
0.007,0.945,0.388,0.946,0.013,0.333,0.025,0.842,0.012,3.049,0.0,0.009,0.049,0.009,0.001,0.042,0.002,0.005,0.001,0.404
0.008,0.953,0.36,0.954,0.015,0.314,0.028,0.842,0.012,3.229,0.0,0.01,0.043,0.01,0.003,0.038,0.005,0.005,0.001,0.393
0.009,0.955,0.359,0.956,0.015,0.314,0.029,0.842,0.012,3.227,0.0,0.008,0.042,0.008,0.003,0.038,0.005,0.005,0.001,0.394
0.01,0.96,0.329,0.961,0.016,0.29,0.03,0.842,0.012,3.514,0.0,0.008,0.043,0.008,0.003,0.039,0.005,0.005,0.001,0.476
0.011,0.964,0.302,0.965,0.016,0.267,0.03,0.842,0.012,3.794,0.0,0.004,0.032,0.004,0.003,0.033,0.005,0.005,0.001,0.452
0.012,0.967,0.291,0.968,0.017,0.26,0.032,0.842,0.012,3.951,0.0,0.007,0.044,0.007,0.003,0.04,0.005,0.005,0.001,0.642
0.013,0.971,0.259,0.972,0.017,0.232,0.033,0.842,0.012,4.501,0.0,0.008,0.053,0.008,0.003,0.048,0.005,0.005,0.001,0.901
0.014,0.977,0.227,0.979,0.019,0.206,0.035,0.842,0.012,5.135,0.0,0.004,0.057,0.004,0.001,0.053,0.003,0.005,0.001,1.133
0.015,0.98,0.198,0.982,0.02,0.179,0.036,0.842,0.012,5.662,0.0,0.002,0.025,0.002,0.001,0.023,0.003,0.005,0.001,0.698
0.016,0.982,0.189,0.983,0.021,0.172,0.037,0.842,0.012,6.006,0.0,0.003,0.034,0.003,0.002,0.031,0.003,0.005,0.001,1.106
0.017,0.984,0.174,0.985,0.021,0.16,0.038,0.842,0.012,6.519,0.0,0.002,0.034,0.002,0.002,0.033,0.004,0.005,0.001,1.299
0.018,0.984,0.17,0.986,0.021,0.156,0.038,0.842,0.012,6.615,0.0,0.001,0.028,0.001,0.003,0.027,0.004,0.005,0.001,1.172
0.019,0.986,0.153,0.987,0.022,0.141,0.039,0.842,0.012,7.498,0.0,0.003,0.036,0.003,0.003,0.033,0.005,0.005,0.001,1.745
0.02,0.988,0.134,0.99,0.025,0.123,0.042,0.842,0.012,8.364,0.0,0.003,0.025,0.004,0.007,0.022,0.009,0.005,0.001,1.415
0.021,0.989,0.125,0.99,0.025,0.115,0.04,0.842,0.012,9.866,0.0,0.004,0.038,0.004,0.007,0.034,0.009,0.005,0.001,4.071
0.022,0.991,0.096,0.993,0.029,0.089,0.041,0.842,0.012,13.496,0.0,0.004,0.037,0.004,0.009,0.033,0.009,0.005,0.001,6.181
0.023,0.992,0.09,0.994,0.029,0.084,0.041,0.842,0.012,13.947,0.0,0.003,0.033,0.003,0.009,0.03,0.009,0.005,0.001,5.873
0.024,0.994,0.077,0.995,0.032,0.073,0.042,0.842,0.012,16.959,0.0,0.003,0.037,0.003,0.006,0.034,0.007,0.005,0.001,6.857
0.025,0.995,0.06,0.997,0.034,0.056,0.042,0.842,0.012,20.118,0.0,0.001,0.026,0.001,0.005,0.025,0.008,0.005,0.001,5.584
0.026,0.995,0.06,0.997,0.034,0.056,0.042,0.842,0.012,20.118,0.0,0.001,0.026,0.001,0.005,0.025,0.008,0.005,0.001,5.584
0.027,0.995,0.056,0.997,0.034,0.053,0.041,0.842,0.012,21.768,0.0,0.001,0.027,0.001,0.005,0.026,0.008,0.005,0.001,6.312
