Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.245,0.991,0.23,0.025,0.222,0.048,0.837,0.089,4.542,0.0,0.018,0.002,0.018,0.001,0.017,0.001,0.004,0.002,0.355
0.002,0.342,0.982,0.33,0.028,0.312,0.055,0.837,0.089,3.252,0.0,0.039,0.005,0.04,0.001,0.036,0.003,0.004,0.002,0.389
0.003,0.389,0.975,0.377,0.03,0.353,0.058,0.837,0.089,2.842,0.0,0.021,0.006,0.022,0.001,0.016,0.002,0.004,0.002,0.127
0.004,0.431,0.968,0.421,0.032,0.389,0.062,0.837,0.089,2.578,0.0,0.019,0.005,0.019,0.001,0.016,0.002,0.004,0.002,0.106
0.005,0.469,0.957,0.46,0.034,0.417,0.065,0.837,0.089,2.4,0.0,0.019,0.005,0.02,0.001,0.016,0.002,0.004,0.002,0.093
0.006,0.5,0.948,0.492,0.035,0.44,0.068,0.837,0.089,2.278,0.0,0.018,0.006,0.019,0.001,0.017,0.002,0.004,0.002,0.087
0.007,0.528,0.938,0.52,0.037,0.458,0.071,0.837,0.089,2.186,0.0,0.012,0.004,0.013,0.001,0.013,0.002,0.004,0.002,0.063
0.008,0.548,0.931,0.54,0.038,0.471,0.074,0.837,0.089,2.124,0.0,0.013,0.009,0.013,0.001,0.008,0.001,0.004,0.002,0.035
0.009,0.574,0.919,0.567,0.04,0.486,0.077,0.837,0.089,2.062,0.0,0.028,0.014,0.029,0.002,0.016,0.004,0.004,0.002,0.067
0.01,0.592,0.911,0.585,0.042,0.496,0.079,0.837,0.089,2.018,0.0,0.021,0.01,0.021,0.002,0.014,0.003,0.004,0.002,0.057
0.011,0.611,0.9,0.605,0.043,0.506,0.082,0.837,0.089,1.978,0.0,0.016,0.014,0.017,0.001,0.005,0.002,0.004,0.002,0.021
0.012,0.619,0.895,0.614,0.044,0.509,0.083,0.837,0.089,1.965,0.0,0.017,0.014,0.018,0.001,0.007,0.002,0.004,0.002,0.026
0.013,0.646,0.879,0.641,0.046,0.52,0.087,0.837,0.089,1.925,0.0,0.014,0.011,0.014,0.002,0.012,0.003,0.004,0.002,0.043
0.014,0.656,0.871,0.652,0.047,0.522,0.089,0.837,0.089,1.916,0.0,0.009,0.01,0.009,0.001,0.011,0.002,0.004,0.002,0.042
0.015,0.66,0.868,0.656,0.047,0.524,0.09,0.837,0.089,1.91,0.0,0.005,0.008,0.006,0.001,0.011,0.002,0.004,0.002,0.041
0.016,0.667,0.863,0.663,0.048,0.526,0.091,0.837,0.089,1.902,0.0,0.007,0.015,0.007,0.0,0.008,0.0,0.004,0.002,0.029
0.017,0.674,0.858,0.67,0.049,0.528,0.092,0.837,0.089,1.894,0.0,0.006,0.011,0.006,0.001,0.009,0.001,0.004,0.002,0.033
0.018,0.681,0.851,0.677,0.049,0.529,0.093,0.837,0.089,1.893,0.0,0.01,0.013,0.01,0.001,0.009,0.002,0.004,0.002,0.032
0.019,0.694,0.839,0.691,0.051,0.53,0.096,0.837,0.089,1.888,0.0,0.013,0.016,0.014,0.002,0.009,0.003,0.004,0.002,0.031
0.02,0.709,0.822,0.707,0.052,0.529,0.098,0.837,0.089,1.892,0.0,0.017,0.031,0.018,0.001,0.014,0.002,0.004,0.002,0.05
0.021,0.712,0.818,0.71,0.053,0.528,0.099,0.837,0.089,1.894,0.0,0.016,0.029,0.017,0.001,0.013,0.002,0.004,0.002,0.049
