Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,0.1516888888888889,0.612318433054097,0.0,0.0,,34-0.0,,
400-0.0,0.07173333333333333,0.04898079961730917,3.7,10.2,,400-0.0,,
12651-0.0,0.04733333333333334,0.04835789711381322,87.6,98.6,,12651-0.0,,
2188-0.0_c1,0.036222222222222225,0.04488851110257096,0.0,0.0,,2188-0.0_c1,,
137-0.0,0.061422222222222225,0.035954665653610274,0.2,0.4,,137-0.0,,
6142-0.3_pos,0.0108,0.027406788556880564,0.0,0.0,,6142-0.3_pos,,
26555-0.0,0.028933333333333332,0.016297887814069382,90.6,98.4,,26555-0.0,,
20023-0.0,0.05031111111111112,0.015651859733462167,1.1,2.9,,20023-0.0,,
1835-0.0_c0,0.007244444444444445,0.015348073239229479,0.0,0.0,,1835-0.0_c0,,
26643-0.0,0.03386666666666667,0.014668338910912218,90.6,98.4,,26643-0.0,,
30710-0.0,0.0635111111111111,0.013222009771051474,6.7,8.1,,30710-0.0,,
20110-0.4_pos,0.041688888888888886,0.013075181507233436,0.0,0.0,,20110-0.4_pos,,
25629-0.0,0.022888888888888886,0.009169371927842146,91.1,98.8,,25629-0.0,,
1588-0.0,0.030222222222222223,0.007885884443885206,31.2,38.1,,1588-0.0,,
2296-0.0_c0,0.025111111111111112,0.007864624841009995,0.0,0.0,,2296-0.0_c0,,
3526-0.0,0.03111111111111111,0.006746824344924919,42.0,17.2,,3526-0.0,,
30650-0.0,0.03213333333333333,0.00627666331148759,6.9,8.0,,30650-0.0,,
30040-0.0,0.027644444444444444,0.005722131601756192,4.8,6.1,,30040-0.0,,
1060-0.0,0.019911111111111112,0.005598119764463117,6.7,9.7,,1060-0.0,,
30510-0.0,0.02857777777777778,0.00534561140174503,3.6,5.7,,30510-0.0,,
1070-0.0,0.018444444444444444,0.0051349251349075645,1.1,2.3,,1070-0.0,,
1200-0.0_c0,0.026977777777777778,0.004896812426490227,0.0,0.0,,1200-0.0_c0,,
20107-0.4_pos,0.022755555555555557,0.0046578356895446505,0.0,0.0,,20107-0.4_pos,,
20127-0.0,0.022044444444444443,0.004628484585630579,20.0,27.1,,20127-0.0,,
20110-0.1_neg,0.01857777777777778,0.004269383002047837,0.0,0.0,,20110-0.1_neg,,
3637-0.0_c6,0.016444444444444446,0.004108501042050744,0.0,0.0,,3637-0.0_c6,,
1090-0.0,0.015155555555555556,0.0037071906434280382,2.0,3.6,,1090-0.0,,
30670-0.0,0.01884444444444445,0.0034198430170059185,6.6,7.8,,30670-0.0,,
1080-0.0,0.008577777777777778,0.0027759892178014487,1.9,3.8,,1080-0.0,,
4642-0.0_c1,0.009822222222222222,0.001621357529739347,0.0,0.0,,4642-0.0_c1,,
