Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
34-0.0,0.7984,0.0033,0.803,0.7972,0.7982,0.7931,0.8006
400-0.0,0.8098,0.0034,0.8135,0.8108,0.8094,0.8034,0.8118
137-0.0,0.8178,0.0042,0.8191,0.8207,0.8191,0.8094,0.8206
12651-0.0,0.8268,0.0041,0.8282,0.8286,0.8266,0.8192,0.8312
2188-0.0_c1,0.8297,0.0038,0.831,0.8316,0.8298,0.8225,0.8337
30710-0.0,0.8321,0.0038,0.8333,0.8336,0.8331,0.8247,0.8358
20110-0.4_pos,0.8337,0.0037,0.8353,0.8343,0.8355,0.8264,0.8368
6142-0.3_pos,0.8348,0.0039,0.837,0.8354,0.8366,0.8271,0.8381
26643-0.0,0.8361,0.0041,0.8386,0.8363,0.8383,0.8282,0.8392
1200-0.0_c0,0.8373,0.0041,0.8393,0.8375,0.8401,0.8294,0.8402
