Features,SelectionOrder,CumulativeAUC,AUC_std,Gain,Cover,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,1,0.7984353410298837,0.0033209885228127774,0.612318433054097,0.1516888888888889,0.0,0.0,,34-0.0,,
400-0.0,2,0.8097642559316258,0.0034486336354493143,0.04898079961730917,0.07173333333333333,3.7,10.2,,400-0.0,,
137-0.0,3,0.8177834524331533,0.004243119112304408,0.035954665653610274,0.061422222222222225,0.2,0.4,,137-0.0,,
12651-0.0,4,0.8267632934574258,0.004057179981032777,0.04835789711381322,0.04733333333333334,87.6,98.6,,12651-0.0,,
2188-0.0_c1,5,0.8297238963522224,0.0038233547872049568,0.04488851110257096,0.036222222222222225,0.0,0.0,,2188-0.0_c1,,
30710-0.0,6,0.8321079029814079,0.003843541142303605,0.013222009771051474,0.0635111111111111,6.7,8.1,,30710-0.0,,
20110-0.4_pos,7,0.8336595580062888,0.0037104215150732247,0.013075181507233436,0.041688888888888886,0.0,0.0,,20110-0.4_pos,,
6142-0.3_pos,8,0.8348450229430148,0.0039417368143830015,0.027406788556880564,0.0108,0.0,0.0,,6142-0.3_pos,,
26643-0.0,9,0.8361051903818396,0.0040840662471913446,0.014668338910912218,0.03386666666666667,90.6,98.4,,26643-0.0,,
1200-0.0_c0,10,0.8373112896232676,0.004055546040476492,0.004896812426490227,0.026977777777777778,0.0,0.0,,1200-0.0_c0,,
