step,feature_added,selected_count,auc_mean,auc_std,selected_features
1,34-0.0,1,0.7984353410298837,0.0033209885228127774,34-0.0
2,400-0.0,2,0.8097642559316258,0.0034486336354493143,"34-0.0, 400-0.0"
3,137-0.0,3,0.8177834524331533,0.004243119112304408,"34-0.0, 400-0.0, 137-0.0"
4,12651-0.0,4,0.8267632934574258,0.004057179981032777,"34-0.0, 400-0.0, 137-0.0, 12651-0.0"
5,2188-0.0_c1,5,0.8297238963522224,0.0038233547872049568,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1"
6,30710-0.0,6,0.8321079029814079,0.003843541142303605,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1, 30710-0.0"
7,20110-0.4_pos,7,0.8336595580062888,0.0037104215150732247,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos"
8,6142-0.3_pos,8,0.8348450229430148,0.0039417368143830015,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 6142-0.3_pos"
9,26643-0.0,9,0.8361051903818396,0.0040840662471913446,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 6142-0.3_pos, 26643-0.0"
10,1200-0.0_c0,10,0.8373112896232676,0.004055546040476492,"34-0.0, 400-0.0, 137-0.0, 12651-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 6142-0.3_pos, 26643-0.0, 1200-0.0_c0"
