Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26555-0.0,0.016,1.4093523212289052,True,1.3,1.4,,26555-0.0,,
26631-0.0,0.002,0.20130488980606864,True,1.3,1.4,,26631-0.0,,
25888-0.0,0.0026666666666666666,0.10818945762158892,True,0.0,0.0,,25888-0.0,,
25280-0.0,0.0006666666666666668,0.1011747970930112,True,5.0,19.6,,25280-0.0,,
25340-0.0,0.00044444444444444447,0.09296008294239862,True,5.0,19.6,,25340-0.0,,
25712-0.0,0.00044444444444444447,0.08662651688858466,True,5.0,19.6,,25712-0.0,,
25855-0.0,0.006888888888888889,0.06277452043687712,True,0.0,0.0,,25855-0.0,,
25889-0.0,0.017333333333333333,0.05897124228530579,True,0.0,0.0,,25889-0.0,,
26659-0.0,0.00022222222222222223,0.05333105836764986,True,1.3,1.4,,26659-0.0,,
26633-0.0,0.0011111111111111111,0.05201388973236313,True,1.3,1.4,,26633-0.0,,
25736-0.0,0.0013333333333333333,0.051269740515827146,True,3.0,14.2,,25736-0.0,,
25590-0.0,0.00022222222222222223,0.049031574640306046,True,5.0,19.6,,25590-0.0,,
26634-0.0,0.00022222222222222223,0.04684441296881642,True,1.3,1.4,,26634-0.0,,
25333-0.0,0.004666666666666667,0.04668369421826978,True,5.0,19.6,,25333-0.0,,
27343-0.0,0.0024444444444444444,0.04225844019763781,True,1.3,1.4,,27343-0.0,,
27426-0.0,0.0011111111111111111,0.04166100557627416,True,1.3,1.4,,27426-0.0,,
27704-0.0,0.00044444444444444447,0.04097176358000328,True,1.3,1.4,,27704-0.0,,
27176-0.0,0.00022222222222222223,0.04066500437554738,True,1.3,1.4,,27176-0.0,,
25863-0.0,0.0011111111111111111,0.03944736242392874,True,0.0,0.0,,25863-0.0,,
25033-0.0,0.0037777777777777775,0.039143366328937466,True,9.0,11.5,,25033-0.0,,
27587-0.0,0.0008888888888888889,0.03904307916397257,True,1.3,1.4,,27587-0.0,,
26528-0.0,0.0008888888888888889,0.038303021389931254,True,1.3,1.4,,26528-0.0,,
25173-0.0,0.006222222222222222,0.03662131422403921,True,5.0,19.6,,25173-0.0,,
27404-0.0,0.0006666666666666668,0.0363781687287024,True,1.3,1.4,,27404-0.0,,
27448-0.0,0.008222222222222223,0.03592044092504393,True,1.3,1.4,,27448-0.0,,
30030-0.0,0.003777777777777778,0.03503542353330724,False,4.8,5.4,,30030-0.0,,
