Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26555-0.0,0.016,1.4093523212289052,True,1.3,1.4,,26555-0.0,,
26631-0.0,0.002,0.20130488980606864,True,1.3,1.4,,26631-0.0,,
25888-0.0,0.0026666666666666666,0.10818945762158892,True,0.0,0.0,,25888-0.0,,
25280-0.0,0.0006666666666666668,0.1011747970930112,True,5.0,19.6,,25280-0.0,,
25712-0.0,0.00044444444444444447,0.08662651688858466,True,5.0,19.6,,25712-0.0,,
25855-0.0,0.006888888888888889,0.06277452043687712,True,0.0,0.0,,25855-0.0,,
25736-0.0,0.0013333333333333333,0.051269740515827146,True,3.0,14.2,,25736-0.0,,
25333-0.0,0.004666666666666667,0.04668369421826978,True,5.0,19.6,,25333-0.0,,
27426-0.0,0.0011111111111111111,0.04166100557627416,True,1.3,1.4,,27426-0.0,,
27176-0.0,0.00022222222222222223,0.04066500437554738,True,1.3,1.4,,27176-0.0,,
25863-0.0,0.0011111111111111111,0.03944736242392874,True,0.0,0.0,,25863-0.0,,
25033-0.0,0.0037777777777777775,0.039143366328937466,True,9.0,11.5,,25033-0.0,,
25173-0.0,0.006222222222222222,0.03662131422403921,True,5.0,19.6,,25173-0.0,,
30030-0.0,0.003777777777777778,0.03503542353330724,False,4.8,5.4,,30030-0.0,,
25167-0.0,0.0013333333333333333,0.03439028652325056,True,5.0,19.6,,25167-0.0,,
25800-0.0,0.00044444444444444447,0.034221991416765817,True,0.0,0.0,,25800-0.0,,
12651-0.0,0.016666666666666666,0.032577407111089855,True,13.4,20.3,,12651-0.0,,
27039-0.0,0.0006666666666666668,0.03105346308622753,True,1.3,1.4,,27039-0.0,,
26989-0.0,0.0022222222222222222,0.030687193567052004,True,1.3,1.4,,26989-0.0,,
3526-0.0,0.014888888888888887,0.02812624108766614,False,47.9,14.9,,3526-0.0,,
26580-0.0,0.025111111111111112,0.026445221120616105,True,1.3,1.4,,26580-0.0,,
27474-0.0,0.00022222222222222223,0.025224877574000458,True,1.3,1.4,,27474-0.0,,
20023-0.0,0.0035555555555555553,0.02214211796759212,False,0.3,1.4,,20023-0.0,,
25161-0.0,0.018222222222222223,0.01836038659248904,True,5.0,19.6,,25161-0.0,,
25928-0.0,0.06577777777777778,0.013154982125915225,True,3.2,6.1,,25928-0.0,,
