Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
26555-0.0,0.08342222222222222,0.34453031999151323,1.3,1.4,,26555-0.0,,
26631-0.0,0.04226666666666667,0.11149037168209426,1.3,1.4,,26631-0.0,,
25888-0.0,0.05826666666666667,0.06094633768629441,0.0,0.0,,25888-0.0,,
25333-0.0,0.036533333333333334,0.047362848666295906,5.0,19.6,,25333-0.0,,
25280-0.0,0.02351111111111111,0.0420212568338174,5.0,19.6,,25280-0.0,,
25712-0.0,0.038177777777777776,0.038996089409920276,5.0,19.6,,25712-0.0,,
25167-0.0,0.031155555555555554,0.03447979724962082,5.0,19.6,,25167-0.0,,
3526-0.0,0.05635555555555556,0.032534678102836466,47.9,14.9,,3526-0.0,,
25855-0.0,0.033555555555555554,0.030154750694465614,0.0,0.0,,25855-0.0,,
25800-0.0,0.03222222222222222,0.026602312042401478,0.0,0.0,,25800-0.0,,
25161-0.0,0.05813333333333333,0.021773732276136586,5.0,19.6,,25161-0.0,,
20023-0.0,0.03693333333333333,0.02139771725155104,0.3,1.4,,20023-0.0,,
26580-0.0,0.030044444444444447,0.020733988819939094,1.3,1.4,,26580-0.0,,
25173-0.0,0.043777777777777784,0.02020114702437662,5.0,19.6,,25173-0.0,,
25033-0.0,0.057999999999999996,0.01999336710875981,9.0,11.5,,25033-0.0,,
30030-0.0,0.03568888888888889,0.017454640852051097,4.8,5.4,,30030-0.0,,
12651-0.0,0.053066666666666665,0.015890088836574872,13.4,20.3,,12651-0.0,,
25736-0.0,0.03217777777777778,0.015274661237428586,3.0,14.2,,25736-0.0,,
27426-0.0,0.031422222222222226,0.014698225374619085,1.3,1.4,,27426-0.0,,
25928-0.0,0.027866666666666668,0.013831670585414397,3.2,6.1,,25928-0.0,,
26989-0.0,0.035866666666666665,0.012751024043501664,1.3,1.4,,26989-0.0,,
25863-0.0,0.03217777777777778,0.010607803039734841,0.0,0.0,,25863-0.0,,
27039-0.0,0.03822222222222222,0.009780220716960311,1.3,1.4,,27039-0.0,,
27176-0.0,0.025155555555555553,0.009402256269366024,1.3,1.4,,27176-0.0,,
27474-0.0,0.026000000000000002,0.007090694204326104,1.3,1.4,,27474-0.0,,
