Features,SelectionOrder,CumulativeAUC,Gain,Cover,NA_full,NA_target,Path,Field,ValueType,Units
26555-0.0,1,0.7835093869972887,0.34453031999151323,0.08342222222222222,1.3,1.4,,26555-0.0,,
25888-0.0,2,0.8242276309055153,0.06094633768629441,0.05826666666666667,0.0,0.0,,25888-0.0,,
25928-0.0,3,0.8471232220408549,0.013831670585414397,0.027866666666666668,3.2,6.1,,25928-0.0,,
25736-0.0,4,0.8780060197128774,0.015274661237428586,0.03217777777777778,3.0,14.2,,25736-0.0,,
25033-0.0,5,0.8928686203983605,0.01999336710875981,0.057999999999999996,9.0,11.5,,25033-0.0,,
25161-0.0,6,0.8898676678470261,0.021773732276136586,0.05813333333333333,5.0,19.6,,25161-0.0,,
25280-0.0,7,0.8852958602625524,0.0420212568338174,0.02351111111111111,5.0,19.6,,25280-0.0,,
26631-0.0,8,0.8886112279942011,0.11149037168209426,0.04226666666666667,1.3,1.4,,26631-0.0,,
12651-0.0,9,0.8948104805306087,0.015890088836574872,0.053066666666666665,13.4,20.3,,12651-0.0,,
26580-0.0,10,0.8933563038115203,0.020733988819939094,0.030044444444444447,1.3,1.4,,26580-0.0,,
