Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.554,0.953,0.553,0.008,0.506,0.015,0.883,0.035,2.089,0.0,0.152,0.041,0.153,0.003,0.12,0.006,0.027,0.02,0.479
0.002,0.736,0.891,0.735,0.011,0.626,0.022,0.883,0.035,1.614,0.0,0.053,0.06,0.054,0.002,0.065,0.004,0.027,0.02,0.174
0.003,0.784,0.836,0.783,0.012,0.619,0.025,0.883,0.035,1.649,0.0,0.038,0.115,0.039,0.001,0.087,0.003,0.027,0.02,0.248
0.004,0.796,0.795,0.796,0.013,0.591,0.025,0.883,0.035,1.766,0.0,0.047,0.151,0.048,0.001,0.111,0.003,0.027,0.02,0.398
0.005,0.825,0.735,0.825,0.014,0.56,0.027,0.883,0.035,1.851,0.0,0.046,0.139,0.047,0.002,0.103,0.004,0.027,0.02,0.368
0.006,0.842,0.721,0.843,0.015,0.564,0.029,0.883,0.035,1.838,0.0,0.039,0.139,0.04,0.001,0.102,0.002,0.027,0.02,0.368
0.007,0.89,0.614,0.89,0.019,0.504,0.036,0.883,0.035,2.128,0.0,0.036,0.145,0.037,0.005,0.116,0.009,0.027,0.02,0.642
0.008,0.921,0.54,0.922,0.022,0.461,0.042,0.883,0.035,2.274,0.0,0.012,0.092,0.012,0.004,0.089,0.008,0.027,0.02,0.559
0.009,0.934,0.5,0.936,0.027,0.435,0.051,0.883,0.035,2.38,0.0,0.018,0.069,0.018,0.011,0.071,0.019,0.027,0.02,0.499
0.01,0.934,0.5,0.936,0.027,0.435,0.051,0.883,0.035,2.38,0.0,0.018,0.069,0.018,0.011,0.071,0.019,0.027,0.02,0.499
0.011,0.948,0.44,0.949,0.047,0.389,0.077,0.883,0.035,2.687,0.0,0.028,0.09,0.028,0.04,0.078,0.053,0.027,0.02,0.576
0.012,0.948,0.44,0.949,0.047,0.389,0.077,0.883,0.035,2.687,0.0,0.028,0.09,0.028,0.04,0.078,0.053,0.027,0.02,0.576
0.013,0.955,0.406,0.957,0.051,0.363,0.083,0.883,0.035,2.875,0.0,0.029,0.092,0.03,0.038,0.078,0.051,0.027,0.02,0.564
0.014,0.955,0.4,0.957,0.05,0.356,0.082,0.883,0.035,2.913,0.0,0.029,0.088,0.03,0.039,0.073,0.051,0.027,0.02,0.528
0.015,0.955,0.4,0.957,0.05,0.356,0.082,0.883,0.035,2.913,0.0,0.029,0.088,0.03,0.039,0.073,0.051,0.027,0.02,0.528
0.016,0.978,0.282,0.98,0.051,0.262,0.082,0.883,0.035,11.127,0.0,0.009,0.133,0.01,0.038,0.127,0.052,0.027,0.02,15.921
0.017,0.978,0.282,0.98,0.051,0.262,0.082,0.883,0.035,11.127,0.0,0.009,0.133,0.01,0.038,0.127,0.052,0.027,0.02,15.921
0.018,0.981,0.262,0.983,0.056,0.245,0.089,0.883,0.035,11.258,0.0,0.008,0.115,0.008,0.039,0.112,0.054,0.027,0.02,15.852
0.019,0.981,0.262,0.983,0.056,0.245,0.089,0.883,0.035,11.258,0.0,0.008,0.115,0.008,0.039,0.112,0.054,0.027,0.02,15.852
0.02,0.981,0.262,0.983,0.056,0.245,0.089,0.883,0.035,11.218,0.0,0.008,0.115,0.008,0.039,0.112,0.054,0.027,0.02,15.772
0.021,0.981,0.262,0.983,0.056,0.245,0.089,0.883,0.035,11.218,0.0,0.008,0.115,0.008,0.039,0.112,0.054,0.027,0.02,15.772
0.022,0.981,0.262,0.983,0.057,0.245,0.089,0.883,0.035,11.218,0.0,0.008,0.115,0.008,0.039,0.112,0.054,0.027,0.02,15.772
0.023,0.989,0.161,0.991,0.056,0.152,0.08,0.883,0.035,18.457,0.0,0.004,0.13,0.004,0.039,0.128,0.058,0.027,0.02,16.185
0.024,0.989,0.161,0.991,0.056,0.152,0.08,0.883,0.035,18.457,0.0,0.004,0.13,0.004,0.039,0.128,0.058,0.027,0.02,16.185
0.025,0.989,0.161,0.991,0.056,0.152,0.08,0.883,0.035,18.457,0.0,0.004,0.13,0.004,0.039,0.128,0.058,0.027,0.02,16.185
0.026,0.991,0.108,0.994,0.06,0.101,0.071,0.883,0.035,20.937,0.0,0.003,0.1,0.003,0.04,0.099,0.055,0.027,0.02,14.511
0.027,0.991,0.108,0.994,0.06,0.101,0.071,0.883,0.035,20.937,0.0,0.003,0.1,0.003,0.04,0.099,0.055,0.027,0.02,14.511
0.028,0.992,0.094,0.995,0.082,0.089,0.083,0.883,0.035,21.118,0.0,0.004,0.074,0.004,0.08,0.075,0.078,0.027,0.02,14.293
0.029,0.992,0.094,0.995,0.082,0.089,0.084,0.883,0.035,20.457,0.0,0.003,0.074,0.003,0.079,0.075,0.077,0.027,0.02,13.321
0.03,0.992,0.094,0.995,0.082,0.089,0.084,0.883,0.035,20.424,0.0,0.003,0.074,0.003,0.079,0.075,0.077,0.027,0.02,13.273
0.031,0.992,0.094,0.995,0.082,0.089,0.084,0.883,0.035,20.424,0.0,0.003,0.074,0.003,0.079,0.075,0.077,0.027,0.02,13.273
0.032,0.992,0.094,0.995,0.082,0.089,0.084,0.883,0.035,20.39,0.0,0.003,0.074,0.003,0.079,0.075,0.077,0.027,0.02,13.226
0.033,0.993,0.094,0.996,0.085,0.09,0.086,0.883,0.035,19.228,0.0,0.002,0.074,0.002,0.077,0.074,0.076,0.027,0.02,11.695
0.034,0.993,0.094,0.996,0.085,0.09,0.086,0.883,0.035,19.228,0.0,0.002,0.074,0.002,0.077,0.074,0.076,0.027,0.02,11.695
0.035,0.993,0.094,0.996,0.085,0.09,0.086,0.883,0.035,19.228,0.0,0.002,0.074,0.002,0.077,0.074,0.076,0.027,0.02,11.695
0.036,0.994,0.087,0.997,0.097,0.085,0.091,0.883,0.035,20.106,0.0,0.001,0.075,0.001,0.074,0.075,0.074,0.027,0.02,11.162
0.037,0.994,0.087,0.997,0.097,0.085,0.091,0.883,0.035,20.106,0.0,0.001,0.075,0.001,0.074,0.075,0.074,0.027,0.02,11.162
0.038,0.994,0.087,0.997,0.097,0.085,0.091,0.883,0.035,20.106,0.0,0.001,0.075,0.001,0.074,0.075,0.074,0.027,0.02,11.162
0.039,0.994,0.047,0.997,0.066,0.045,0.054,0.883,0.035,25.485,0.0,0.001,0.017,0.001,0.029,0.017,0.021,0.027,0.02,8.403
