Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.51,0.932,0.509,0.006,0.44,0.013,0.832,0.017,2.284,0.0,0.048,0.02,0.049,0.001,0.034,0.001,0.013,0.001,0.174
0.002,0.614,0.883,0.613,0.008,0.496,0.015,0.832,0.017,2.023,0.0,0.012,0.022,0.012,0.0,0.031,0.001,0.013,0.001,0.126
0.003,0.696,0.823,0.695,0.009,0.519,0.018,0.832,0.017,1.935,0.0,0.026,0.05,0.026,0.0,0.033,0.001,0.013,0.001,0.119
0.004,0.724,0.802,0.724,0.01,0.526,0.019,0.832,0.017,1.91,0.0,0.012,0.043,0.013,0.0,0.034,0.001,0.013,0.001,0.121
0.005,0.77,0.742,0.771,0.011,0.512,0.022,0.832,0.017,1.954,0.0,0.01,0.014,0.01,0.001,0.018,0.001,0.013,0.001,0.066
0.006,0.799,0.678,0.799,0.012,0.477,0.023,0.832,0.017,2.109,0.0,0.04,0.077,0.04,0.001,0.04,0.003,0.013,0.001,0.181
0.007,0.846,0.591,0.847,0.013,0.438,0.026,0.832,0.017,2.292,0.0,0.018,0.04,0.018,0.001,0.026,0.002,0.013,0.001,0.133
0.008,0.864,0.55,0.865,0.014,0.416,0.027,0.832,0.017,2.417,0.0,0.009,0.032,0.009,0.001,0.028,0.001,0.013,0.001,0.171
0.009,0.878,0.518,0.879,0.015,0.398,0.028,0.832,0.017,2.523,0.0,0.009,0.023,0.009,0.001,0.023,0.002,0.013,0.001,0.147
0.01,0.918,0.413,0.92,0.018,0.333,0.034,0.832,0.017,3.074,0.0,0.024,0.075,0.024,0.003,0.052,0.004,0.013,0.001,0.466
0.011,0.934,0.367,0.936,0.019,0.302,0.037,0.832,0.017,3.448,0.0,0.018,0.078,0.018,0.002,0.06,0.003,0.013,0.001,0.718
0.012,0.945,0.318,0.947,0.021,0.265,0.039,0.832,0.017,3.916,0.0,0.015,0.064,0.015,0.003,0.05,0.005,0.013,0.001,0.781
0.013,0.956,0.278,0.958,0.022,0.236,0.041,0.832,0.017,4.312,0.0,0.008,0.037,0.008,0.002,0.031,0.004,0.013,0.001,0.535
0.014,0.956,0.278,0.958,0.022,0.236,0.041,0.832,0.017,4.311,0.0,0.008,0.037,0.008,0.002,0.031,0.004,0.013,0.001,0.537
0.015,0.96,0.256,0.962,0.023,0.219,0.043,0.832,0.017,4.613,0.0,0.009,0.029,0.009,0.003,0.021,0.005,0.013,0.001,0.414
0.016,0.961,0.251,0.963,0.023,0.214,0.043,0.832,0.017,4.686,0.0,0.007,0.021,0.007,0.003,0.016,0.005,0.013,0.001,0.331
0.017,0.964,0.237,0.966,0.024,0.203,0.043,0.832,0.017,4.947,0.0,0.004,0.015,0.004,0.003,0.014,0.005,0.013,0.001,0.327
0.018,0.972,0.196,0.975,0.027,0.17,0.046,0.832,0.017,6.458,0.0,0.009,0.051,0.009,0.004,0.043,0.004,0.013,0.001,2.335
0.019,0.973,0.188,0.976,0.027,0.164,0.046,0.832,0.017,6.659,0.0,0.009,0.049,0.009,0.004,0.041,0.004,0.013,0.001,2.244
0.02,0.976,0.17,0.979,0.027,0.148,0.046,0.832,0.017,7.131,0.0,0.006,0.034,0.006,0.004,0.029,0.004,0.013,0.001,1.952
0.021,0.979,0.156,0.982,0.029,0.138,0.048,0.832,0.017,7.741,0.0,0.005,0.039,0.005,0.002,0.033,0.002,0.013,0.001,2.112
0.022,0.979,0.156,0.982,0.029,0.138,0.048,0.832,0.017,7.741,0.0,0.005,0.039,0.005,0.002,0.033,0.002,0.013,0.001,2.112
0.023,0.979,0.153,0.982,0.029,0.135,0.048,0.832,0.017,7.874,0.0,0.005,0.037,0.005,0.002,0.032,0.002,0.013,0.001,2.034
0.024,0.979,0.153,0.982,0.029,0.135,0.048,0.832,0.017,7.874,0.0,0.005,0.037,0.005,0.002,0.032,0.002,0.013,0.001,2.034
0.025,0.981,0.143,0.984,0.03,0.127,0.049,0.832,0.017,8.284,0.0,0.004,0.032,0.004,0.003,0.028,0.003,0.013,0.001,1.924
0.026,0.986,0.101,0.989,0.032,0.09,0.047,0.832,0.017,12.445,0.0,0.004,0.032,0.004,0.004,0.028,0.006,0.013,0.001,4.642
