Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.374,0.981,0.369,0.014,0.35,0.027,0.836,0.042,2.87,0.0,0.023,0.005,0.023,0.0,0.02,0.001,0.004,0.003,0.17
0.002,0.434,0.967,0.429,0.015,0.397,0.029,0.836,0.042,2.527,0.0,0.025,0.009,0.025,0.001,0.018,0.001,0.004,0.003,0.115
0.003,0.48,0.954,0.476,0.016,0.43,0.031,0.836,0.042,2.328,0.0,0.017,0.007,0.017,0.0,0.012,0.001,0.004,0.003,0.067
0.004,0.571,0.92,0.568,0.018,0.488,0.036,0.836,0.042,2.051,0.0,0.018,0.007,0.018,0.001,0.011,0.001,0.004,0.003,0.046
0.005,0.612,0.898,0.609,0.02,0.507,0.039,0.836,0.042,1.975,0.0,0.027,0.019,0.027,0.001,0.013,0.002,0.004,0.003,0.049
0.006,0.642,0.879,0.64,0.021,0.519,0.041,0.836,0.042,1.928,0.0,0.012,0.016,0.013,0.0,0.005,0.001,0.004,0.003,0.02
0.007,0.66,0.865,0.658,0.022,0.523,0.042,0.836,0.042,1.913,0.0,0.005,0.015,0.005,0.0,0.011,0.0,0.004,0.003,0.039
0.008,0.665,0.862,0.663,0.022,0.525,0.043,0.836,0.042,1.904,0.0,0.01,0.016,0.01,0.001,0.013,0.001,0.004,0.003,0.046
0.009,0.711,0.812,0.711,0.024,0.523,0.047,0.836,0.042,1.913,0.0,0.018,0.033,0.018,0.001,0.015,0.001,0.004,0.003,0.056
0.01,0.729,0.794,0.729,0.025,0.523,0.049,0.836,0.042,1.917,0.0,0.021,0.037,0.021,0.001,0.022,0.002,0.004,0.003,0.08
0.011,0.737,0.78,0.737,0.026,0.517,0.05,0.836,0.042,1.936,0.0,0.025,0.036,0.026,0.002,0.016,0.003,0.004,0.003,0.062
