Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.637,0.844,0.637,0.004,0.481,0.009,0.816,0.01,2.084,0.0,0.035,0.029,0.035,0.0,0.026,0.001,0.015,0.001,0.116
0.002,0.719,0.778,0.719,0.005,0.497,0.01,0.816,0.01,2.015,0.0,0.028,0.016,0.028,0.0,0.018,0.001,0.015,0.001,0.073
0.003,0.833,0.622,0.834,0.007,0.456,0.014,0.816,0.01,2.202,0.0,0.02,0.039,0.02,0.001,0.028,0.001,0.015,0.001,0.141
0.004,0.849,0.596,0.849,0.007,0.445,0.014,0.816,0.01,2.254,0.0,0.013,0.023,0.013,0.001,0.025,0.001,0.015,0.001,0.133
0.005,0.887,0.498,0.888,0.008,0.385,0.016,0.816,0.01,2.659,0.0,0.027,0.083,0.028,0.001,0.057,0.002,0.015,0.001,0.436
0.006,0.908,0.447,0.909,0.009,0.356,0.018,0.816,0.01,2.887,0.0,0.022,0.076,0.022,0.001,0.057,0.002,0.015,0.001,0.488
0.007,0.943,0.337,0.944,0.011,0.281,0.022,0.816,0.01,3.736,0.0,0.019,0.079,0.019,0.002,0.062,0.004,0.015,0.001,0.795
0.008,0.956,0.291,0.958,0.014,0.249,0.026,0.816,0.01,4.515,0.0,0.023,0.107,0.023,0.002,0.084,0.003,0.015,0.001,1.578
0.009,0.967,0.24,0.968,0.014,0.207,0.026,0.816,0.01,5.071,0.0,0.009,0.053,0.009,0.002,0.045,0.003,0.015,0.001,1.204
0.01,0.97,0.222,0.972,0.014,0.193,0.027,0.816,0.01,5.467,0.0,0.007,0.054,0.008,0.001,0.047,0.002,0.015,0.001,1.243
0.011,0.973,0.214,0.974,0.015,0.188,0.028,0.816,0.01,5.554,0.0,0.005,0.043,0.005,0.002,0.04,0.004,0.015,0.001,1.146
0.012,0.973,0.214,0.974,0.015,0.188,0.028,0.816,0.01,5.554,0.0,0.005,0.043,0.005,0.002,0.04,0.004,0.015,0.001,1.146
0.013,0.978,0.179,0.979,0.015,0.158,0.028,0.816,0.01,7.201,0.0,0.006,0.064,0.006,0.002,0.059,0.004,0.015,0.001,2.466
0.014,0.984,0.132,0.985,0.017,0.118,0.03,0.816,0.01,8.847,0.0,0.004,0.024,0.004,0.004,0.022,0.006,0.015,0.001,2.0
0.015,0.984,0.132,0.985,0.017,0.118,0.03,0.816,0.01,8.846,0.0,0.004,0.024,0.004,0.004,0.022,0.006,0.015,0.001,1.999
0.016,0.984,0.126,0.986,0.017,0.112,0.03,0.816,0.01,9.258,0.0,0.004,0.022,0.004,0.004,0.02,0.006,0.015,0.001,1.851
0.017,0.989,0.094,0.991,0.018,0.084,0.03,0.816,0.01,13.173,0.0,0.003,0.028,0.003,0.004,0.026,0.006,0.015,0.001,4.528
0.018,0.993,0.058,0.995,0.019,0.053,0.028,0.816,0.01,26.794,0.0,0.002,0.028,0.002,0.004,0.027,0.008,0.015,0.001,16.306
0.019,0.993,0.058,0.995,0.019,0.053,0.028,0.816,0.01,26.791,0.0,0.002,0.028,0.002,0.004,0.027,0.008,0.015,0.001,16.303
0.02,0.994,0.055,0.995,0.021,0.051,0.028,0.816,0.01,31.686,0.0,0.002,0.03,0.002,0.003,0.028,0.008,0.015,0.001,22.312
