Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,0.4826666666666667,1.4940057411421226,0.0,0.0,,34-0.0,,
400-0.0,0.2808888888888889,0.2415959087289524,3.7,10.2,,400-0.0,,
2188-0.0_c1,0.08977777777777778,0.17993832201764853,0.0,0.0,,2188-0.0_c1,,
137-0.0,0.1771111111111111,0.11909040167872446,0.2,0.4,,137-0.0,,
6142-0.3_pos,0.006222222222222223,0.08065611564154714,0.0,0.0,,6142-0.3_pos,,
20110-0.4_pos,0.18666666666666665,0.06655595495696677,0.0,0.0,,20110-0.4_pos,,
20023-0.0,0.16466666666666668,0.06085853582843789,1.1,2.9,,20023-0.0,,
30710-0.0,0.20666666666666667,0.054320522737999005,6.7,8.1,,30710-0.0,,
2296-0.0_c0,0.0911111111111111,0.03223923250552614,0.0,0.0,,2296-0.0_c0,,
3526-0.0,0.114,0.030675017146097203,42.0,17.2,,3526-0.0,,
1080-0.0,0.046,0.022924940864805152,1.9,3.8,,1080-0.0,,
30650-0.0,0.07955555555555555,0.0227044580348322,6.9,8.0,,30650-0.0,,
20107-0.4_pos,0.084,0.021096915036157765,0.0,0.0,,20107-0.4_pos,,
1060-0.0,0.05488888888888889,0.020918280531940104,6.7,9.7,,1060-0.0,,
1588-0.0,0.04955555555555556,0.020729778450397973,31.2,38.1,,1588-0.0,,
1200-0.0_c0,0.08244444444444445,0.019108699592993696,0.0,0.0,,1200-0.0_c0,,
20127-0.0,0.0631111111111111,0.018185608550167938,20.0,27.1,,20127-0.0,,
20110-0.1_neg,0.059555555555555556,0.016952057375448276,0.0,0.0,,20110-0.1_neg,,
30040-0.0,0.06155555555555556,0.01665010934270788,4.8,6.1,,30040-0.0,,
1070-0.0,0.03111111111111111,0.013369863645518428,1.1,2.3,,1070-0.0,,
4642-0.0_c1,0.05155555555555555,0.013119645749380467,0.0,0.0,,4642-0.0_c1,,
1090-0.0,0.04622222222222223,0.012689793343517036,2.0,3.6,,1090-0.0,,
3637-0.0_c6,0.034888888888888886,0.010183600986766503,0.0,0.0,,3637-0.0_c6,,
30510-0.0,0.03933333333333333,0.009729468297111908,3.6,5.7,,30510-0.0,,
30670-0.0,0.029555555555555557,0.009297445418569262,6.6,7.8,,30670-0.0,,
2443-0.0_c0,0.024444444444444442,0.00797041684871551,0.0,0.0,,2443-0.0_c0,,
738-0.0_c0,0.016888888888888887,0.007773549077598106,0.0,0.0,,738-0.0_c0,,
30180-0.0,0.03911111111111111,0.007679623133769735,5.0,6.2,,30180-0.0,,
20111-0.4_pos,0.033111111111111105,0.00700636009233453,0.0,0.0,,20111-0.4_pos,,
1618-0.0_c0,0.026444444444444444,0.006756482430935747,0.0,0.0,,1618-0.0_c0,,
