Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,0.1579111111111111,0.6500716379507886,0.0,0.0,,34-0.0,,
400-0.0,0.07595555555555555,0.05584326131391386,3.7,10.2,,400-0.0,,
2188-0.0_c1,0.03528888888888889,0.05201270840798559,0.0,0.0,,2188-0.0_c1,,
137-0.0,0.05871111111111112,0.03769476077421977,0.2,0.4,,137-0.0,,
6142-0.3_pos,0.010622222222222224,0.027859068796804894,0.0,0.0,,6142-0.3_pos,,
20023-0.0,0.05608888888888889,0.018926877450171013,1.1,2.9,,20023-0.0,,
3526-0.0,0.04391111111111111,0.017936606232375144,42.0,17.2,,3526-0.0,,
20110-0.4_pos,0.04222222222222223,0.014338022223150781,0.0,0.0,,20110-0.4_pos,,
30710-0.0,0.06524444444444444,0.014102301428454552,6.7,8.1,,30710-0.0,,
2296-0.0_c0,0.026444444444444444,0.008752416716962991,0.0,0.0,,2296-0.0_c0,,
1060-0.0,0.021555555555555553,0.0075992792652961,6.7,9.7,,1060-0.0,,
1588-0.0,0.02471111111111111,0.00750618216300817,31.2,38.1,,1588-0.0,,
30650-0.0,0.03671111111111111,0.007469155087497487,6.9,8.0,,30650-0.0,,
30040-0.0,0.031911111111111105,0.007010690959715994,4.8,6.1,,30040-0.0,,
1070-0.0,0.023244444444444446,0.006928640610677486,1.1,2.3,,1070-0.0,,
20127-0.0,0.02768888888888889,0.006201479489247481,20.0,27.1,,20127-0.0,,
30510-0.0,0.028533333333333334,0.005630950376498099,3.6,5.7,,30510-0.0,,
3637-0.0_c6,0.018488888888888888,0.005375822722639715,0.0,0.0,,3637-0.0_c6,,
1080-0.0,0.012044444444444444,0.005328493058201232,1.9,3.8,,1080-0.0,,
20107-0.4_pos,0.024577777777777778,0.005135974821724057,0.0,0.0,,20107-0.4_pos,,
20110-0.1_neg,0.020133333333333333,0.005045930337439599,0.0,0.0,,20110-0.1_neg,,
1200-0.0_c0,0.02617777777777778,0.004989331787261995,0.0,0.0,,1200-0.0_c0,,
30180-0.0,0.03048888888888889,0.004988130512180418,5.0,6.2,,30180-0.0,,
2443-0.0_c0,0.0184,0.0047472030106445,0.0,0.0,,2443-0.0_c0,,
1090-0.0,0.02013333333333333,0.004692268086600566,2.0,3.6,,1090-0.0,,
738-0.0_c0,0.01048888888888889,0.004273711291618748,0.0,0.0,,738-0.0_c0,,
30670-0.0,0.022000000000000002,0.00405078852273356,6.6,7.8,,30670-0.0,,
1618-0.0_c0,0.010755555555555556,0.0020652461540972616,0.0,0.0,,1618-0.0_c0,,
20111-0.4_pos,0.011466666666666667,0.0020317902034295713,0.0,0.0,,20111-0.4_pos,,
4642-0.0_c1,0.008088888888888889,0.0013912702446607491,0.0,0.0,,4642-0.0_c1,,
