Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
34-0.0,0.7984,0.0033,0.803,0.7972,0.7982,0.7931,0.8006
400-0.0,0.8098,0.0034,0.8135,0.8108,0.8094,0.8034,0.8118
137-0.0,0.8178,0.0042,0.8191,0.8207,0.8191,0.8094,0.8206
2188-0.0_c1,0.8234,0.004,0.825,0.8254,0.8246,0.8155,0.8262
30710-0.0,0.8252,0.0039,0.8269,0.8268,0.8273,0.8175,0.8276
20110-0.4_pos,0.8271,0.004,0.8288,0.828,0.8301,0.8192,0.8293
1090-0.0,0.8285,0.0041,0.831,0.8289,0.8317,0.8205,0.8306
6142-0.3_pos,0.8298,0.0043,0.8328,0.8298,0.833,0.8215,0.832
20023-0.0,0.831,0.0047,0.8342,0.8317,0.8346,0.8219,0.8325
3526-0.0,0.832,0.0045,0.8349,0.8317,0.8361,0.8234,0.8338
