Features,SelectionOrder,CumulativeAUC,AUC_std,Gain,Cover,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,1,0.7984353410298837,0.0033209885228127774,0.6500716379507886,0.1579111111111111,0.0,0.0,,34-0.0,,
400-0.0,2,0.8097642559316258,0.0034486336354493143,0.05584326131391386,0.07595555555555555,3.7,10.2,,400-0.0,,
137-0.0,3,0.8177834524331533,0.004243119112304408,0.03769476077421977,0.05871111111111112,0.2,0.4,,137-0.0,,
2188-0.0_c1,4,0.823352199206097,0.0039616481445694735,0.05201270840798559,0.03528888888888889,0.0,0.0,,2188-0.0_c1,,
30710-0.0,5,0.8252310908805203,0.0038625475189459873,0.014102301428454552,0.06524444444444444,6.7,8.1,,30710-0.0,,
20110-0.4_pos,6,0.8270890134280282,0.004003425612575945,0.014338022223150781,0.04222222222222223,0.0,0.0,,20110-0.4_pos,,
1090-0.0,7,0.8285458745881391,0.004102803411316134,0.004692268086600566,0.02013333333333333,2.0,3.6,,1090-0.0,,
6142-0.3_pos,8,0.8298227125589918,0.004322492193776304,0.027859068796804894,0.010622222222222224,0.0,0.0,,6142-0.3_pos,,
20023-0.0,9,0.830968303835364,0.004676348782666982,0.018926877450171013,0.05608888888888889,1.1,2.9,,20023-0.0,,
3526-0.0,10,0.8319638655161569,0.004537379430350346,0.017936606232375144,0.04391111111111111,42.0,17.2,,3526-0.0,,
