step,feature_added,selected_count,auc_mean,auc_std,selected_features
1,34-0.0,1,0.7984353410298837,0.0033209885228127774,34-0.0
2,400-0.0,2,0.8097642559316258,0.0034486336354493143,"34-0.0, 400-0.0"
3,137-0.0,3,0.8177834524331533,0.004243119112304408,"34-0.0, 400-0.0, 137-0.0"
4,2188-0.0_c1,4,0.823352199206097,0.0039616481445694735,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1"
5,30710-0.0,5,0.8252310908805203,0.0038625475189459873,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0"
6,20110-0.4_pos,6,0.8270890134280282,0.004003425612575945,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos"
7,1090-0.0,7,0.8285458745881391,0.004102803411316134,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 1090-0.0"
8,6142-0.3_pos,8,0.8298227125589918,0.004322492193776304,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 1090-0.0, 6142-0.3_pos"
9,20023-0.0,9,0.830968303835364,0.004676348782666982,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 1090-0.0, 6142-0.3_pos, 20023-0.0"
10,3526-0.0,10,0.8319638655161569,0.004537379430350346,"34-0.0, 400-0.0, 137-0.0, 2188-0.0_c1, 30710-0.0, 20110-0.4_pos, 1090-0.0, 6142-0.3_pos, 20023-0.0, 3526-0.0"
