Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.196,0.994,0.181,0.023,0.174,0.046,0.831,0.088,5.742,0.0,0.007,0.002,0.008,0.0,0.006,0.0,0.005,0.003,0.207
0.002,0.31,0.982,0.297,0.027,0.279,0.052,0.831,0.088,3.639,0.0,0.038,0.006,0.039,0.001,0.034,0.002,0.005,0.003,0.445
0.003,0.363,0.975,0.351,0.029,0.326,0.056,0.831,0.088,3.071,0.0,0.012,0.006,0.012,0.0,0.009,0.001,0.005,0.003,0.087
0.004,0.417,0.965,0.407,0.031,0.371,0.06,0.831,0.088,2.699,0.0,0.02,0.005,0.021,0.001,0.018,0.002,0.005,0.003,0.134
0.005,0.447,0.958,0.437,0.032,0.394,0.063,0.831,0.088,2.538,0.0,0.014,0.005,0.015,0.001,0.014,0.001,0.005,0.003,0.086
0.006,0.459,0.954,0.449,0.033,0.403,0.064,0.831,0.088,2.481,0.0,0.014,0.006,0.014,0.001,0.013,0.001,0.005,0.003,0.08
0.007,0.481,0.947,0.472,0.034,0.418,0.066,0.831,0.088,2.395,0.0,0.022,0.008,0.022,0.001,0.016,0.002,0.005,0.003,0.092
0.008,0.522,0.932,0.514,0.036,0.446,0.07,0.831,0.088,2.247,0.0,0.022,0.01,0.023,0.001,0.016,0.002,0.005,0.003,0.081
0.009,0.571,0.91,0.564,0.04,0.474,0.076,0.831,0.088,2.109,0.0,0.027,0.018,0.028,0.002,0.012,0.003,0.005,0.003,0.052
0.01,0.602,0.896,0.596,0.042,0.492,0.08,0.831,0.088,2.034,0.0,0.019,0.018,0.02,0.001,0.005,0.002,0.005,0.003,0.021
0.011,0.618,0.886,0.613,0.043,0.499,0.082,0.831,0.088,2.007,0.0,0.013,0.012,0.014,0.001,0.009,0.002,0.005,0.003,0.036
0.012,0.631,0.878,0.626,0.044,0.504,0.084,0.831,0.088,1.984,0.0,0.017,0.008,0.017,0.002,0.014,0.003,0.005,0.003,0.053
0.013,0.638,0.873,0.633,0.045,0.506,0.085,0.831,0.088,1.976,0.0,0.019,0.01,0.02,0.002,0.014,0.003,0.005,0.003,0.055
0.014,0.656,0.858,0.652,0.046,0.51,0.088,0.831,0.088,1.962,0.0,0.007,0.012,0.007,0.001,0.011,0.002,0.005,0.003,0.043
0.015,0.665,0.852,0.661,0.047,0.513,0.089,0.831,0.088,1.95,0.0,0.007,0.016,0.008,0.0,0.009,0.001,0.005,0.003,0.034
0.016,0.668,0.849,0.664,0.047,0.514,0.09,0.831,0.088,1.947,0.0,0.008,0.017,0.009,0.0,0.009,0.001,0.005,0.003,0.033
0.017,0.668,0.849,0.664,0.047,0.514,0.09,0.831,0.088,1.947,0.0,0.008,0.017,0.009,0.0,0.009,0.001,0.005,0.003,0.033
0.018,0.671,0.847,0.668,0.048,0.515,0.09,0.831,0.088,1.943,0.0,0.006,0.014,0.007,0.001,0.011,0.001,0.005,0.003,0.04
0.019,0.683,0.836,0.68,0.049,0.517,0.093,0.831,0.088,1.936,0.0,0.013,0.02,0.014,0.001,0.01,0.002,0.005,0.003,0.038
0.02,0.687,0.834,0.684,0.049,0.518,0.093,0.831,0.088,1.931,0.0,0.011,0.019,0.011,0.001,0.01,0.001,0.005,0.003,0.037
0.021,0.704,0.818,0.702,0.051,0.52,0.097,0.831,0.088,1.924,0.0,0.017,0.024,0.018,0.002,0.01,0.003,0.005,0.003,0.038
0.022,0.713,0.809,0.711,0.052,0.52,0.098,0.831,0.088,1.923,0.0,0.008,0.008,0.009,0.001,0.011,0.003,0.005,0.003,0.04
0.023,0.723,0.796,0.722,0.053,0.518,0.1,0.831,0.088,1.933,0.0,0.01,0.017,0.011,0.001,0.011,0.002,0.005,0.003,0.042
0.024,0.736,0.778,0.736,0.055,0.513,0.102,0.831,0.088,1.949,0.0,0.01,0.007,0.01,0.002,0.008,0.003,0.005,0.003,0.031
0.025,0.736,0.778,0.736,0.055,0.513,0.102,0.831,0.088,1.949,0.0,0.01,0.007,0.01,0.002,0.008,0.003,0.005,0.003,0.031
0.026,0.747,0.763,0.747,0.056,0.51,0.104,0.831,0.088,1.961,0.0,0.006,0.014,0.007,0.001,0.01,0.002,0.005,0.003,0.04
0.027,0.756,0.749,0.757,0.057,0.505,0.106,0.831,0.088,1.979,0.0,0.008,0.007,0.009,0.002,0.007,0.003,0.005,0.003,0.027
0.028,0.758,0.745,0.759,0.057,0.504,0.106,0.831,0.088,1.985,0.0,0.007,0.009,0.007,0.002,0.009,0.003,0.005,0.003,0.037
0.029,0.775,0.72,0.776,0.06,0.496,0.11,0.831,0.088,2.019,0.0,0.016,0.035,0.017,0.002,0.019,0.003,0.005,0.003,0.082
0.03,0.788,0.7,0.789,0.061,0.489,0.113,0.831,0.088,2.048,0.0,0.015,0.035,0.016,0.002,0.019,0.002,0.005,0.003,0.086
0.031,0.804,0.673,0.806,0.064,0.479,0.117,0.831,0.088,2.089,0.0,0.015,0.032,0.016,0.002,0.017,0.004,0.005,0.003,0.075
0.032,0.815,0.654,0.819,0.066,0.472,0.12,0.831,0.088,2.12,0.0,0.011,0.023,0.012,0.002,0.014,0.004,0.005,0.003,0.062
0.033,0.824,0.635,0.828,0.068,0.463,0.122,0.831,0.088,2.165,0.0,0.011,0.026,0.011,0.002,0.016,0.003,0.005,0.003,0.077
0.034,0.824,0.635,0.828,0.068,0.463,0.122,0.831,0.088,2.165,0.0,0.011,0.026,0.011,0.002,0.016,0.003,0.005,0.003,0.077
0.035,0.829,0.626,0.833,0.069,0.459,0.124,0.831,0.088,2.18,0.0,0.006,0.017,0.006,0.002,0.013,0.003,0.005,0.003,0.062
0.036,0.829,0.626,0.833,0.069,0.459,0.124,0.831,0.088,2.18,0.0,0.006,0.017,0.006,0.002,0.013,0.003,0.005,0.003,0.062
