Feature,Gain
34-0.0,0.07951111111111112
137-0.0,0.06835555555555554
400-0.0,0.06013333333333334
20023-0.0,0.059733333333333326
30650-0.0,0.05915555555555555
30620-0.0,0.051022222222222226
30710-0.0,0.0496
30040-0.0,0.045644444444444446
46-0.0,0.04182222222222222
3526-0.0,0.038400000000000004
3064-0.0,0.035199999999999995
30690-0.0,0.030222222222222223
47-0.0,0.027600000000000003
20008-0.0,0.027555555555555555
21022-0.0,0.025822222222222226
845-0.0,0.025244444444444448
23107-0.0,0.024533333333333334
4080-0.0,0.02422222222222222
3063-0.0,0.022533333333333332
31-0.0_c0,0.019688888888888888
20110-0.1_neg,0.018355555555555556
3062-0.0,0.016355555555555557
23112-0.0,0.015688888888888888
23115-0.0,0.014355555555555555
23110-0.0,0.013511111111111113
23111-0.0,0.012977777777777777
23116-0.0,0.011866666666666668
398-0.0,0.0116
23108-0.0,0.011466666666666668
20010-0.0,0.011155555555555554
52-0.0_c0,0.00848888888888889
21001-0.0,0.007422222222222223
23104-0.0,0.0071111111111111115
399-0.0,0.005422222222222222
22006-0.0_c0,0.004888888888888889
131287-0.0_c2,0.0048000000000000004
20110-0.2_pos,0.0028000000000000004
1329-0.0_c0,0.002666666666666667
403-0.0,0.0011555555555555555
21000-0.0_c0,0.0010222222222222223
1031-0.0_c1,0.0006222222222222221
22032-0.0_c0,0.0002666666666666667
131287-0.0_c0,0.0
131351-0.0_c0,0.0
22006-0.0_c1,0.0
31-0.0_c1,0.0
