Feature,Gain
34-0.0,0.11911111111111113
400-0.0,0.0772
137-0.0,0.07653333333333334
20023-0.0,0.07275555555555555
23112-0.0,0.06875555555555556
46-0.0,0.06520000000000001
30710-0.0,0.06226666666666666
30040-0.0,0.06106666666666667
30650-0.0,0.0532888888888889
23107-0.0,0.05
3526-0.0,0.04337777777777778
30690-0.0,0.04337777777777778
4080-0.0,0.040044444444444445
20008-0.0,0.038
845-0.0,0.031155555555555554
20110-0.1_neg,0.021422222222222224
20010-0.0,0.019333333333333334
52-0.0_c0,0.015466666666666665
398-0.0,0.014355555555555555
131287-0.0_c2,0.007022222222222223
22006-0.0_c0,0.005422222222222222
1329-0.0_c0,0.005377777777777778
20110-0.2_pos,0.0036000000000000003
21000-0.0_c0,0.0024888888888888886
403-0.0,0.0020888888888888893
22032-0.0_c0,0.000711111111111111
1031-0.0_c1,0.0005777777777777778
131287-0.0_c0,0.0
131351-0.0_c0,0.0
