Feature,Gain
34-0.0,0.06671111111111111
137-0.0,0.05577777777777778
30650-0.0,0.04240000000000001
30710-0.0,0.04057777777777778
400-0.0,0.038933333333333334
400-0.1,0.036977777777777776
30620-0.0,0.03657777777777778
3526-0.0,0.03337777777777778
30040-0.0,0.03137777777777778
20110-0.8,0.028488888888888887
46-0.0,0.027244444444444443
20023-0.0,0.022933333333333337
131287-0.0_c6,0.0224
20008-0.0,0.021111111111111112
21022-0.0,0.02022222222222222
3064-0.2,0.019866666666666664
47-0.0,0.016533333333333334
404-0.5,0.016355555555555554
845-0.0,0.016177777777777777
23115-0.0,0.015822222222222224
404-0.11,0.015777777777777776
30690-0.0,0.015466666666666667
131351-0.0_c8,0.014755555555555555
20110-0.3,0.01471111111111111
3064-0.1,0.014666666666666666
131287-0.0_c4,0.014533333333333334
3063-0.2,0.014444444444444444
131287-0.0_c8,0.013155555555555556
23111-0.0,0.0128
4080-0.0,0.01248888888888889
23107-0.0,0.012444444444444444
23112-0.0,0.012355555555555554
31-0.0_c0,0.011511111111111113
3062-0.2,0.01048888888888889
3064-0.0,0.009822222222222222
20110-0.12,0.009244444444444444
404-0.7,0.008
23110-0.0,0.007866666666666666
23108-0.0,0.0077333333333333325
3063-0.1,0.0076
22032-3.3_c0,0.007377777777777777
131351-0.0_c4,0.007066666666666667
23116-0.0,0.0070666666666666655
403-0.1,0.006977777777777777
20010-0.0,0.006622222222222222
22032-2.2_c0,0.0064444444444444445
3062-0.0,0.005911111111111112
131287-0.0_c2,0.0057777777777777775
404-0.10,0.005644444444444445
3063-0.0,0.005111111111111111
21000-0.0_c1,0.005066666666666667
52-0.0_c0,0.004933333333333334
21000-0.0_c3,0.004666666666666666
131351-0.0_c6,0.004222222222222222
398-0.1,0.0041777777777777785
21001-0.0,0.0041333333333333335
1031-1.1_c0,0.004088888888888889
1031-2.2_c1,0.0038666666666666667
23104-0.0,0.003777777777777778
399-0.1,0.0037333333333333337
3062-0.1,0.0036888888888888896
21000-1.1_c4,0.0036444444444444445
1329-2.2_c0,0.003022222222222222
399-0.0,0.002533333333333333
403-0.2,0.0022666666666666664
20110-0.9,0.002
131351-0.0_c2,0.001911111111111111
131287-0.0_c5,0.0017777777777777779
21000-1.1_c2,0.001511111111111111
21000-3.3_c4,0.001511111111111111
131351-0.0_c5,0.0014222222222222223
403-0.5,0.0013777777777777777
403-0.8,0.0013333333333333335
1329-0.0_c0,0.0012000000000000001
20110-0.16,0.0010222222222222223
21000-3.3_c2,0.0010222222222222223
1329-1.1_c0,0.000977777777777778
20110-0.4,0.0009333333333333334
403-0.11,0.0008
22006-0.0_c0,0.0007555555555555555
20110-0.14,0.0006222222222222223
131351-0.0_c7,0.0005333333333333334
20110-0.22,0.0005333333333333334
403-0.10,0.0004888888888888889
1329-3.3_c0,0.0004
403-0.0,0.0004
403-0.3,0.0004
403-0.4,0.0004
403-0.7,0.00035555555555555557
1031-3.3_c1,0.0003111111111111111
20110-0.20,0.0003111111111111111
21000-0.0_c0,0.0003111111111111111
21000-1.1_c3,0.0003111111111111111
398-0.0,0.0003111111111111111
1031-0.0_c1,0.00031111111111111107
1031-2.2_c0,0.00031111111111111107
20110-0.18,0.00031111111111111107
22032-0.0_c0,0.00031111111111111107
131287-0.0_c7,0.0002666666666666667
20110-0.6,0.00022222222222222226
403-0.9,0.00022222222222222226
20110-0.24,0.00022222222222222223
403-0.6,0.00022222222222222223
21000-2.2_c1,0.00017777777777777779
1031-1.1_c1,0.00013333333333333334
20110-0.10,0.00013333333333333334
22032-1.1_c0,0.00013333333333333334
1031-0.0_c0,8.888888888888889e-05
21000-0.0_c4,8.888888888888889e-05
21000-1.1_c1,4.4444444444444447e-05
1031-3.3_c0,0.0
131287-0.0_c0,0.0
131287-0.0_c1,0.0
131287-0.0_c3,0.0
131351-0.0_c0,0.0
131351-0.0_c1,0.0
131351-0.0_c3,0.0
20110-0.5,0.0
20110-0.7,0.0
20110-0.11,0.0
20110-0.13,0.0
20110-0.15,0.0
20110-0.17,0.0
20110-0.19,0.0
20110-0.21,0.0
20110-0.23,0.0
20110-0.25,0.0
21000-0.0_c2,0.0
21000-1.1_c0,0.0
21000-2.2_c0,0.0
21000-2.2_c2,0.0
21000-2.2_c3,0.0
21000-2.2_c4,0.0
21000-3.3_c0,0.0
21000-3.3_c1,0.0
21000-3.3_c3,0.0
22006-0.0_c1,0.0
31-0.0_c1,0.0
