Feature,Gain
34-0.0,0.10737777777777777
400-0.0,0.07168888888888889
137-0.0,0.06831111111111111
23115-0.0,0.0664
30710-0.0,0.05733333333333333
20023-0.0,0.05697777777777778
46-0.0,0.05582222222222222
3064-0.2,0.05151111111111112
30040-0.0,0.04924444444444444
30650-0.0,0.044666666666666674
3526-0.0,0.043333333333333335
20008-0.0,0.03853333333333333
20110-0.8,0.031066666666666666
30690-0.0,0.03097777777777778
23107-0.0,0.028444444444444446
4080-0.0,0.028399999999999998
131287-0.0_c6,0.02564444444444445
131287-0.0_c4,0.023822222222222224
845-0.0,0.022311111111111108
131351-0.0_c8,0.021555555555555557
20010-0.0,0.019111111111111113
20110-0.3,0.018488888888888888
403-0.1,0.011911111111111112
22032-3.3_c0,0.011333333333333334
20110-0.12,0.010666666666666666
131287-0.0_c2,0.005066666666666666
